AccX,AccY,AccZ,GyroX,GyroY,GyroZ
44,97,-70,4372,5761,1192
27,-22,-95,-2603,2670,-4075
-89,86,6,3345,5884,-2189
-6,-113,58,558,2346,-6021
-6,-4,62,796,3105,-5909
122,16,55,749,1568,-3997
103,53,2,-1513,1753,-3239
68,-57,33,10735,15161,9369
-96,27,56,1699,6747,-1100
14,110,-27,-13686,-2481,-3191
-105,-127,-9,1333,2237,6264
-60,10,-122,-7147,-1468,-1063
85,-106,-111,1457,-590,-4401
-83,-83,-7,6036,3223,4826
-117,-16,-61,-3800,-1501,-1736
-113,-76,-83,630,161,-515
103,39,45,2087,-2381,-3106
7,-90,122,-11157,-9634,-8615
-30,-55,-125,-8289,-7065,-8975
-15,-8,81,-8873,-6210,-8282
89,-63,-123,-3578,-3328,-6826
115,-37,53,10677,70,-2061
-89,-12,13,13295,-1171,-3314
72,34,-60,11054,2448,6368
-68,-26,-106,-317,-3726,2618
-63,-125,117,1488,-4464,311
85,-81,-98,8809,2606,2840
-59,-83,-114,-1808,-637,-1570
12,-56,-103,-8638,-2059,-2668
31,48,87,-2144,53,-62
57,-34,-95,3066,2199,1170
75,-34,88,1145,776,678
84,-41,122,-1179,-286,-333
122,5,26,-179,566,122
126,5,46,-289,237,-62
-117,24,71,-104,613,82
-125,4,65,-1450,-191,-444
-107,16,-52,1019,795,577
118,6,48,-244,-254,-181
-114,27,54,-117,-75,-55
-2,71,-63,3671,6518,1161
-36,99,-124,4250,7225,78
57,66,-73,-2726,2400,-5730
-19,127,-18,3556,6532,-4844
35,-85,22,2216,5122,-4719
117,26,42,-4230,-369,-5065
24,39,-1,7173,11029,3620
-72,59,-62,8716,11835,4709
-117,-32,121,-10811,-4241,-2794
-105,44,-106,-9974,-5059,-156
22,-14,-107,-2699,1225,-2004
-34,-80,63,9530,2262,2979
-29,28,-30,-2711,-386,-127
125,57,62,-882,93,26
109,79,45,1029,504,27
-97,58,-125,-1710,-2159,-1904
113,-91,-63,639,-1640,-1971
99,-67,79,-8086,-8686,-5043
-52,-41,-25,-12893,-10453,-7995
-97,-56,-3,-3066,-7541,-9166
-8,11,-49,5971,-5104,-10523
-97,113,-70,3613,-1638,-3015
52,-57,87,9900,3996,3410
-101,-91,99,5384,-1104,1918
4,-121,-108,1443,-1995,-243
-114,37,81,5394,3800,1095
17,-53,-58,1016,1629,660
-6,-121,-108,-7248,-3589,-1965
4,-50,66,-1126,-699,-183
53,5,-42,5512,2916,3040
5,-51,-2,-1427,-238,-366
40,7,-125,-1322,-307,-316
83,22,39,78,818,457
88,30,33,-63,709,370
82,29,46,-564,39,-129
105,36,0,236,425,187
111,26,31,-277,-127,-198
120,30,22,106,90,-5
117,24,36,28,-15,-98
123,15,39,222,160,-5
-97,77,88,4918,11677,2690
22,-81,-53,2664,4741,-3612
-121,-64,-20,-1976,4695,-5634
12,-121,-18,1304,5154,-5202
96,-77,94,2394,4982,-2866
114,-110,-47,-42,2237,-1460
65,82,-37,571,4715,2152
112,93,-45,3215,6271,4499
92,24,-90,-392,4154,3882
-2,-101,39,-5846,569,2176
118,-10,109,-8918,-3661,580
58,113,88,-2710,696,-1180
84,-42,73,12977,1537,1016
-39,104,107,-3503,95,1177
33,99,52,-4606,-996,-1476
3,75,20,4748,-285,-1960
107,93,-23,-8196,-6392,-7563
11,-115,92,-10335,-4699,-8407
-17,59,-15,-5041,-2765,-8094
20,-31,19,-2279,-2107,-4234
-91,-23,32,-1493,-2079,-4599
-115,113,-89,6834,77,-2281
-99,112,-65,12677,315,-814
118,-27,-42,11143,3682,5601
32,-116,97,-2175,-5736,1909
-77,-18,21,-802,-6217,-1459
7,-111,124,6594,1055,2663
107,24,42,3200,923,1906
-37,-109,23,-5474,-1684,-2655
26,-12,33,-3767,-1621,-338
49,-17,9,-992,457,168
24,-24,-42,2744,1723,1584
9,-40,79,1229,471,508
47,-19,-109,-469,-243,-322
100,-23,77,5,340,46
114,-28,40,126,500,114
104,-35,52,-189,27,-135
121,-30,29,47,122,-42
-128,-31,42,125,112,-33
-117,-32,51,-71,69,-24
-118,-100,-19,9472,13114,4404
-70,76,6,-9224,-916,-7107
-75,77,-93,7056,11098,-910
-17,61,99,-335,3479,-7043
24,-107,-100,-683,3538,-4715
-97,37,-89,-2003,3250,-2245
-88,80,15,5469,9373,4227
71,-93,-115,7193,8570,6174
83,41,91,-9319,-1606,-1770
98,47,-62,-17798,-6424,1577
50,-45,-93,13497,989,-2004
-7,-7,-5,2350,2130,3598
32,30,-17,-3791,-1368,-1689
41,-121,-31,4072,1461,278
53,-127,-89,1140,-335,-1567
-36,-83,116,-1121,-2049,-3046
14,-21,-85,-5575,-8674,-6447
28,-28,-2,-17306,-8218,-7731
-114,20,-59,-1721,-5111,-7074
121,-102,-106,-1581,-3931,-6335
62,82,-68,5678,-3457,-8103
-93,-119,-8,11962,4684,-1437
50,105,-81,9426,3410,5428
-76,115,-107,-369,-5893,-155
48,-47,89,936,-4364,-678
-108,81,90,6981,4675,2443
-57,-84,44,-1900,738,-827
-37,-32,-121,-7796,-4661,-1543
-79,-15,70,-2333,-1581,-590
52,-3,-112,6383,4364,2239
44,-38,-68,-671,542,462
64,-12,96,-2636,-638,-1030
98,29,-49,1658,1516,1188
57,-2,93,-1323,-353,-436
94,22,25,-229,13,27
100,11,-3,451,546,291
94,11,41,-231,-95,-72
105,17,24,9,-37,-40
117,8,19,271,109,105
115,9,28,339,145,120
106,-24,69,1220,8459,3167
-41,72,-125,4329,11597,3127
-47,-9,-91,-9774,511,-5915
-46,-23,-23,-517,7754,432
27,-112,-87,-1101,5531,428
-39,101,122,-4266,1212,1764
-18,61,64,3212,10156,6550
80,-61,64,15881,12176,8383
120,100,-103,772,9493,858
-38,-28,119,-16107,-6610,-1865
-28,-111,-104,-13086,-1129,-2018
115,63,56,10845,2303,5447
-29,102,23,859,375,-1464
61,-121,-96,-2640,-815,-1000
-11,-19,80,3149,612,-340
4,46,35,-3755,-3448,-5475
-1,94,49,-4363,-4394,-6898
-88,-101,-56,-8980,-5061,-8227
-120,16,-64,-7383,-3851,-7131
30,-35,-68,-5632,-3620,-6305
-61,57,103,1830,-704,-4136
-32,88,48,15965,497,-813
-123,-52,17,11169,3696,4932
80,-85,57,6109,-937,5769
98,-10,104,-4311,-9509,-2303
18,91,77,2802,-1330,456
66,55,101,3196,121,2683
97,-47,-116,312,-557,227
62,-61,8,1029,1230,412
32,-79,16,-1995,-690,-320
41,-90,121,-1989,-994,-808
80,-88,-27,1195,963,528
93,-105,41,1089,635,358
102,-80,90,-328,-61,-115
-126,-86,33,22,294,-103
-113,-84,8,135,459,95
-113,-79,6,-284,50,-98
-107,-78,-13,115,200,61
-106,-69,0,89,213,19
-104,-72,22,-294,-124,-128
80,25,-32,3952,9396,1582
-78,59,-118,-1935,4752,-1927
58,-33,103,-2757,5939,-3047
-28,-111,-76,-3540,4792,-4709
82,-53,-95,304,5956,-1767
40,107,44,-4849,2850,-842
55,61,-37,1046,10573,5408
-6,-20,19,22587,16573,15750
-80,89,3,-5120,1521,-4272
-102,17,57,-23040,-13401,-3684
83,-95,22,-1980,1164,-558
-71,-99,-67,11970,4430,8419
-49,-12,83,-3587,-2722,-4380
-69,116,55,-2837,-577,-1049
104,-74,17,4115,1449,1707
38,120,-59,-1858,-1413,-2596
105,-33,-111,-4234,-3370,-4206
-10,95,101,-5313,-5083,-6448
112,-59,60,-5966,-4718,-7016
55,-1,-22,-4903,-4033,-6615
-72,-110,-14,-2251,-3836,-5211
64,-17,-26,-233,-2909,-6004
-118,66,83,12433,187,-3663
-102,112,-27,15173,8544,6069
-101,59,105,2223,-485,5600
105,-24,70,-6484,-7556,-2204
-105,-72,50,6522,840,2298
112,48,104,4352,2130,1797
0,-85,-78,-1724,-80,-1096
38,-13,-22,-2363,543,64
23,-32,107,-799,192,-25
32,-83,51,-295,-383,-238
80,-63,23,1349,993,600
99,-68,-128,-560,-75,-103
-114,-40,49,583,1071,201
-99,-48,90,-418,354,-308
-75,-52,41,-431,296,-225
-65,-51,15,-206,148,-104
-62,-48,8,-94,42,-12
-76,-34,22,7,-36,50
12,-34,-99,4835,6929,-865
25,-100,-111,-8103,2052,-7510
16,112,-45,-5055,3680,-5370
91,-38,-49,-4640,1900,-1965
-90,-61,-10,-3359,2057,2542
5,-5,-77,-439,4198,4219
117,-87,94,14876,12396,15679
-50,3,-105,2298,5652,251
122,51,-69,-9809,-4638,984
29,-65,-98,-6162,-672,359
17,59,-73,8620,2494,3199
2,-125,-15,-1014,-806,-1868
96,-78,70,-842,-143,-303
68,-15,43,748,-505,-2891
-56,101,-81,-3434,-5392,-6921
-104,-61,-57,-12749,-6957,-9096
45,-91,-109,-6917,-4372,-8275
-50,-20,86,-1418,-2606,-5209
92,-34,85,2022,-1412,-5880
-108,33,82,14048,-937,-5452
36,-94,118,15124,6281,6257
-61,43,115,2357,-2358,5446
-119,-81,115,-5463,-7171,-3212
-42,-92,87,4243,612,2168
110,12,109,2980,1590,1369
-4,-57,88,-1019,769,-412
10,-34,-36,-2662,-336,-272
9,-60,90,-1399,-1098,-301
42,-50,-34,2696,1507,884
52,-68,-120,157,-26,36
73,-55,115,36,265,16
103,-68,77,11,380,-119
125,-73,62,-339,277,-130
-123,-70,22,336,421,180
-128,-73,67,-808,-457,-355
-103,-51,-1,514,467,329
-120,-53,46,-197,-33,2
-112,-44,23,70,114,104
-121,-41,32,-115,-79,-8
-117,-32,13,302,152,118
36,59,48,-8296,1466,-3673
-84,-67,-53,7460,10798,728
