AccX,AccY,AccZ,GyroX,GyroY,GyroZ
127,-23,65,1341,-2582,-11839
-31,-111,-102,-253,-5139,-9774
56,-55,-59,-926,-2302,-6920
31,-62,-40,1420,-876,-2247
-9,35,-103,2157,77,4176
-57,-93,44,-4328,5478,8755
-77,56,4,-492,2955,8705
20,-40,-54,-5084,-1136,2783
-74,-116,-61,783,-2417,4969
-56,-88,48,-817,-1345,5258
24,-60,66,-3838,-1052,4483
-68,-77,-85,-1530,-661,3503
-109,-52,101,324,-935,-282
-60,-90,29,2306,-232,-1083
90,-76,-84,1519,83,679
-119,-12,-97,-927,789,-276
-102,-74,-112,-923,617,-612
-66,-99,105,715,-740,-45
-79,99,51,1671,-249,93
-104,77,69,1712,-786,184
-92,94,89,-532,403,-110
-77,125,69,-488,-31,241
-75,127,79,144,133,101
-81,-124,71,476,-34,101
-83,-115,84,82,91,52
-73,-121,85,204,44,104
-69,-99,90,-274,418,61
-66,-123,78,89,185,-149
-54,-95,80,30,123,-130
-49,-112,83,2,351,-114
-45,-91,92,-116,-13,-388
-46,-111,90,-5,-2,-154
-46,-100,90,11,20,-147
-39,-88,94,-104,50,-205
-45,-98,91,32,-79,-109
-43,-67,93,-83,4,-201
-41,-61,88,-11,-77,-196
-57,12,92,10,-289,-494
19,10,-67,742,-342,-980
-4,5,-52,1124,1392,-6774
127,106,81,382,-1773,-11222
12,62,85,2382,-4127,-10052
-48,-69,18,-188,-2908,-8326
-88,-125,69,-3892,-877,-6856
91,19,89,1072,-304,-1548
89,-6,-114,2443,1959,7562
77,4,-9,-6753,4813,9014
-44,10,93,3431,1762,10395
-81,68,-122,-10981,873,2287
-61,30,-119,37,-3603,5596
42,-85,117,3375,-5132,7850
-38,16,-13,-2854,1494,3493
57,66,-21,-364,-800,-2445
-87,77,-54,4451,215,-1409
65,-114,109,2000,376,835
98,1,123,-1208,-434,-227
-125,114,-122,-140,-55,-102
99,68,118,36,272,-301
122,107,101,-255,219,-148
126,109,92,-416,253,12
-98,-115,76,-555,523,-113
-116,-122,54,412,-511,15
-95,-108,67,-48,217,-41
-94,-88,68,-2,121,-133
-80,-86,77,-169,211,-111
-77,-90,71,-15,229,-89
-92,-99,66,299,-272,-77
-78,-90,70,-58,61,-106
-70,-81,70,-83,125,-129
-70,-75,69,117,179,-166
-71,-80,71,76,64,-119
-66,-56,75,-121,162,-239
-61,-71,79,-24,-19,-156
-66,-60,76,21,-55,-171
-61,-72,77,180,-60,-78
-59,-62,59,27,-47,-160
-53,-74,62,124,13,57
-57,-50,55,-110,26,-161
-46,-46,69,-355,428,-112
-50,-19,69,-142,-172,-274
-11,43,121,-1190,-1278,-9568
78,-48,-91,1909,-2849,-12318
-48,-54,115,-1323,-3383,-8306
60,32,85,2758,-1507,-4001
-56,-64,65,2902,-1087,1495
