AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-98,-34,-112,3710,3343,-5609
-58,106,-115,5462,5607,-4534
78,-75,70,3375,5442,-4502
-65,80,0,4935,4011,-2382
118,-69,28,-4489,2854,1288
-108,-38,34,-697,1998,5654
-55,-57,41,-5857,-1626,6547
-104,-111,117,-1480,-6179,6199
77,37,-39,-2006,-5806,-1448
-1,86,22,5555,-2302,-3674
63,8,-122,-1780,-2943,-6258
104,56,-106,-338,1319,-5397
48,-28,-1,2064,5393,-3748
57,52,122,-2059,3744,-1577
-106,22,-50,-1573,3685,3477
-93,-7,-115,-2417,3263,4713
107,-19,101,-3976,-479,6806
51,-16,75,-2404,-1996,2697
-114,-40,66,-3828,-4026,1940
-113,-70,-108,-2954,-7368,-31
-73,33,-71,-3606,-9409,-641
5,63,19,-4037,-7979,-962
-35,78,68,526,-6339,-2271
51,-123,9,-1232,-2909,-467
-122,-17,-25,-739,-3976,-515
-121,-110,-59,-319,408,-200
9,-48,106,-451,-901,105
-10,61,67,-1041,633,573
-35,115,107,-492,358,1794
-46,-26,-119,-1713,1275,2048
54,48,24,-2917,2372,1916
113,76,-64,-1077,1874,2377
-43,13,127,-1130,1970,2543
27,87,66,-685,1781,2887
-99,7,-6,60,1573,2279
-86,17,90,41,-4,2849
-113,-33,87,620,1404,2309
-14,-109,87,1386,1397,2379
-84,-32,-105,-698,-19,1585
-24,110,-114,1903,852,1766
-59,12,-121,3085,502,1268
-70,23,-94,1132,332,785
-93,-53,-91,599,-294,214
-108,-103,-42,448,-391,-166
-115,91,-26,403,-231,-238
-96,58,-19,153,-181,-276
-73,68,-28,-389,-613,-469
-71,54,-21,-389,-601,-555
-86,28,-15,-310,-629,-524
-81,15,-13,-45,-349,-579
-22,19,-65,4109,3524,-4953
64,61,125,5100,3145,-5015
113,87,13,2553,3538,-5050
111,96,-119,3493,2466,-1999
123,53,46,-1645,3598,349
8,38,97,-3372,2603,3114
-81,103,23,-3134,1721,6998
-85,126,-109,-696,-3584,4677
24,-85,-42,-1848,-4176,3788
-69,-124,27,253,-5441,-1911
46,7,52,911,-4709,-4269
-50,-98,-56,-628,-3073,-5261
-78,30,64,-955,548,-5046
75,-54,83,583,3318,-3687
-56,89,-86,-859,4077,-2585
-40,-38,127,-2646,5626,743
74,-37,-92,-2800,5568,3229
91,-105,22,-1226,3296,5598
14,-14,-95,-3205,-287,4070
-36,-114,-96,-3088,-2844,3320
-29,56,119,-5082,-4599,1667
100,76,-38,-2470,-8494,372
52,-27,-25,-4946,-9503,-771
25,-75,15,-1131,-7975,-3047
38,-104,-2,-2058,-1716,-1826
-5,47,-123,-222,-2113,-915
73,-116,-10,963,-277,-666
117,14,-56,-896,-238,390
53,69,66,250,-652,313
82,-127,50,-577,324,260
89,-106,124,-1284,-424,1676
78,-112,114,-1519,1665,1940
-84,-36,-70,-3022,1411,2288
-35,74,-114,-1791,1139,2135
63,117,52,-762,2503,2261
92,-8,52,94,1128,2162
-125,62,29,180,786,2529
-63,-72,-8,2883,1268,2243
-111,99,37,-452,425,1918
