AccX,AccY,AccZ,GyroX,GyroY,GyroZ
99,-18,-126,-2900,3237,-4873
93,26,76,-416,6475,-3272
66,-86,81,-212,6040,-2123
92,36,51,-998,5604,-1549
-119,-55,-51,692,5148,2152
-81,17,-123,-2167,840,1630
-44,-27,112,-1163,143,2723
-79,-59,3,-814,-2844,2814
-22,116,124,-767,-4936,-2217
35,75,60,545,-4996,-3624
-43,-49,-20,1779,977,-3118
113,-128,-110,-66,2049,-3836
-6,72,-69,808,4175,4
25,-77,112,5,3379,576
-16,-14,41,-815,2605,-29
13,-42,59,-2223,585,1441
77,125,3,-1952,-70,3504
-14,-55,20,-1945,-3328,2938
-7,-95,-110,39,-4116,-824
52,-108,-124,1045,-3534,-3101
2,-65,-40,1749,-210,-2920
106,46,-46,1419,2009,-2053
117,-34,-32,635,3577,-860
70,113,71,442,2995,249
-18,24,-105,-1113,480,-171
-20,65,-19,-1005,-746,328
18,-69,-41,-1083,-3800,2204
-37,15,55,-478,-2929,2123
-79,8,106,-534,-3488,2635
-58,-42,-111,713,-3193,3716
-36,19,-127,-154,-1697,3239
-95,101,-48,771,-3106,4164
0,63,-114,929,-1035,3173
-43,-117,-38,604,-1364,3238
-51,93,-45,1167,-645,2796
126,66,-11,952,-483,2133
-110,-6,-58,1067,602,1830
62,-1,-106,675,-488,1027
50,-27,-111,134,-444,220
58,-74,-124,-81,-86,-163
64,90,105,403,175,-295
83,66,100,308,156,-410
102,36,70,62,130,-434
122,1,52,-14,27,-321
-120,7,49,-133,11,-239
-119,13,40,-252,-148,-168
-127,12,34,-89,3,-73
124,29,26,-130,25,-43
-128,31,23,-14,-113,84
-125,66,24,-408,-231,164
-87,51,79,-2473,2199,-5518
25,-31,-40,-2014,3123,-5688
-48,10,70,-3162,4664,-4931
-63,105,96,37,3710,-1669
-92,-80,127,-425,3372,-497
-40,42,119,-226,2917,1800
11,-120,-37,69,1435,2198
-63,-25,-124,-812,-14,1758
57,-94,-124,-475,-1721,2083
-96,-80,-39,-811,-3131,174
86,37,3,373,-1664,-724
-108,-50,35,1390,-129,-1020
-65,76,78,-125,556,-2230
-27,95,-117,261,696,-1185
-3,74,57,620,2717,-832
-88,-42,81,-26,2020,44
43,-82,-114,-374,1338,1416
-111,55,21,-628,520,2181
47,30,-62,-1414,-1995,1864
-109,85,-29,-1466,-2678,-111
-93,33,-83,459,-1327,-15
9,13,51,486,-1469,-2170
-60,8,13,1057,-45,-2060
-46,-71,-24,1028,1565,-826
124,85,-116,681,2157,-509
55,68,-61,123,1212,-626
-122,94,3,-1067,-105,-500
-4,83,71,-1073,-31,-47
0,-73,-94,-1631,-2865,1691
6,-14,-119,-1010,-2967,1368
-67,-7,15,964,-3695,3250
-80,-22,98,1198,-2356,3046
-75,37,-126,-13,-2597,2798
-67,44,-119,665,-2370,2564
-67,84,-87,81,-3276,2570
-39,86,-31,862,-1565,2983
-93,75,-28,1046,-1082,2814
-93,72,-16,1484,-1093,2596
-98,33,-42,1491,381,2349
96,43,-96,1661,-426,1645
45,23,-85,915,-331,846
27,-24,-70,783,-171,97
18,-77,-112,-44,83,-244
40,-46,92,-1834,-9,-1344
54,116,111,-750,-196,-1061
106,49,76,-109,368,-830
126,42,57,154,165,-776
-126,24,28,-16,148,-728
-126,7,28,-112,210,-512
-117,0,17,73,83,218
