AccX,AccY,AccZ,GyroX,GyroY,GyroZ
5,-28,114,-419,-1160,-6982
-51,56,-114,46,-1384,-6253
57,-98,-24,1186,-3038,-5346
104,-62,-61,722,-1994,-3785
59,-102,42,228,-564,1319
-90,119,-119,-1473,1507,2576
53,-60,5,494,3046,4212
-35,-11,36,907,3975,4654
-100,-81,-25,-176,1917,3227
-120,15,73,-2714,-73,293
95,-66,108,131,-735,2076
95,99,-121,217,-938,3440
68,-85,-72,-501,-1286,3847
-108,-7,-32,239,-868,4224
-59,59,-50,1174,-178,4168
-26,-94,-22,-384,-445,4316
-26,-92,20,923,-588,4641
48,-86,33,1589,-375,3980
18,-44,52,34,3,2760
-60,92,28,2153,-165,2151
107,79,49,1578,-357,1484
65,28,43,707,-183,261
37,-40,45,437,26,-251
32,100,47,777,206,-462
53,71,34,570,206,-546
80,-5,26,1435,48,-541
112,0,16,-359,115,-996
111,-29,18,-797,-318,-1137
79,-121,50,338,-352,-384
78,-74,32,-168,191,18
87,-39,10,-449,129,265
88,-6,6,-355,-152,206
94,26,-2,-315,130,401
86,61,-10,-360,-17,173
83,75,-11,-358,2,215
95,94,-15,-161,62,45
89,79,-16,15,12,30
88,83,-18,-186,65,58
94,76,-25,-90,38,120
82,90,-26,-227,-87,90
96,88,-22,-96,184,222
97,100,-38,-20,53,125
98,107,-35,-159,-23,188
100,113,-39,-63,111,187
95,118,-41,-100,119,181
-120,120,-42,-64,182,236
101,-117,-52,-115,-154,102
103,-125,-33,-144,132,85
120,124,-46,47,266,209
124,-112,-55,-194,-41,174
-89,-128,-18,-2897,1212,-4426
-39,51,20,-221,1946,-3490
86,78,-56,-432,1635,-5306
-30,5,-107,-358,389,-6146
46,-127,-118,-385,417,-6795
92,7,127,-165,-1328,-7114
102,-117,-112,746,-3850,-7763
62,-128,124,1335,-3315,-5414
-86,-10,-83,86,-514,926
-24,13,106,457,356,2254
66,-35,92,-777,3080,4640
84,-51,-127,1251,3820,6065
38,95,31,-838,2410,2415
-79,-8,-8,708,433,1215
30,-93,114,285,-71,2712
88,-90,106,-1336,-205,2323
54,-68,-59,-309,-1567,3556
103,-44,-39,814,-614,3948
122,69,-46,813,43,3811
-104,-84,-50,-84,-293,3494
-108,108,9,889,-384,3473
-95,-94,51,-81,-73,3359
-87,90,33,1481,355,2742
-105,106,47,1001,-160,2351
125,73,9,905,-79,997
73,52,45,-91,-412,-8
73,-83,47,767,-14,-261
34,-124,59,504,-227,-266
47,87,50,-43,171,-342
65,59,42,-178,61,-480
94,32,17,24,90,-446
99,15,-2,-169,19,-480
91,-4,-7,-105,-60,-387
94,-6,-1,-65,30,-84
92,10,-10,-140,37,11
83,22,-6,-246,56,276
92,37,-13,-179,110,305
93,63,-18,-208,97,515
96,99,-29,-357,7,370
95,105,-25,-8,70,319
96,-122,-36,-170,131,143
95,-127,-37,-83,-28,70
95,-124,-33,-142,-12,88
