(123, -98, 115, -482, -655, -16180)
(-106, -42, 91, 2298, -3096, -9405)
(-69, -82, 45, 6737, -6753, -8893)
(43, -69, -3, 7837, -6458, 346)
(73, -64, 23, 23063, -30807, -7558)
(-124, 109, 26, 4061, -8200, -12276)
(42, 29, -61, 23273, -5179, 3607)
(-121, 25, 0, 17120, -8145, -3911)
(-68, -52, -8, -3724, 826, 10141)
(-3, -17, 88, 8981, -19384, 30055)
(-68, -18, 108, -15899, -20049, -29843)
(112, 14, -9, 12561, -467, -11794)
(46, -68, 43, 246, -6599, 2728)
(121, -95, -50, 4639, -8994, 6321)
(67, 25, -75, -670, -10544, 15659)
(108, 32, 73, 8409, -3308, 13429)
(-88, -113, -60, 730, -149, 18786)
(83, -44, -22, 4224, -4586, 23993)
(-88, -11, 25, -5414, -14020, 29044)
(-30, -42, -25, 6076, -4654, 22452)
(-106, 109, 36, 5741, -3314, 20342)
(-46, -33, 85, 13274, -4384, 25610)
(-109, 112, 71, 16292, 565, 21409)
(-23, -1, 106, 16235, 991, 21892)
(86, 79, -37, 16977, 4884, 23196)
(114, -35, 108, 6813, 3206, 21477)
(-7, -10, -101, 12699, 4978, 24361)
(110, 12, -56, 9007, 2667, 20135)
(-46, -67, 36, 2948, 492, 17761)
(44, 35, 97, 10250, 4281, 8865)
(-97, 79, -13, 11425, 4130, 3678)
(-13, -30, -89, 14900, 669, -4158)
(13, -67, -31, 10210, 1925, -6977)
(-87, -91, -47, 4156, 3375, -14139)
(37, -48, 100, 17995, 2523, -17927)
(-35, 123, 29, 20479, 8185, -23820)
(35, -16, -61, 15804, 7069, -28941)
(34, -40, -15, 5325, 3714, 29842)
(67, 38, -54, 5886, 15472, -32571)
(35, 3, -90, 22391, 20689, -32571)
(108, -78, -19, 3396, 18706, -32571)
(6, -11, 12, 1905, 17010, -32571)
(97, -7, -92, -5293, 11311, -32571)
(33, -53, 56, -14911, 2561, -30310)
(117, -15, -34, -5332, -2196, -26953)
(-8, 39, -51, 1215, 2675, -27067)
(109, 92, -103, 2021, 234, -14756)
(-39, -121, -45, 15737, -10841, 944)
(-9, 97, -60, 3282, -7970, -15395)
(-80, -43, -53, 12198, -7545, -15799)
