(-23, 113, -83, -5589, 4961, 4541)
(69, 106, -3, -6469, 6391, 5879)
(-28, 44, -106, -434, 8058, 8095)
(70, -80, -49, -72, 7423, 9160)
(-88, -26, 35, 2316, 5641, 11917)
(-89, 75, 100, 4231, 6163, 11394)
(51, -123, -26, 6681, 5072, 13680)
(-108, 98, 98, 6972, 12197, 14029)
(77, -16, -48, 4279, 4968, 10784)
(-3, -106, -101, 1916, 7474, 13257)
(-37, -74, 126, -8187, -5071, -6782)
(-7, -46, -18, -1394, -1236, -1355)
(-27, -70, -3, -4404, -160, -3237)
(-81, -120, 14, -3175, -1719, -4680)
(102, 32, 32, -910, -443, -5092)
(66, -21, 14, -2031, 1023, -5259)
(6, 101, -19, -151, -162, -3378)
(-6, 80, -37, -919, 47, -2010)
(-36, 46, -72, -2799, 1091, -389)
(-43, 43, -111, -1837, 1228, 938)
(-49, 87, 88, -4794, 1750, 1524)
(-44, 107, 52, -3424, 1998, 2328)
(-23, -67, -19, -8076, 3937, 2910)
(1, -7, -42, -9611, 3085, 1906)
(69, -110, -11, -9741, 1843, 251)
(73, -22, 12, 9539, -11145, -13263)
(106, 46, 25, -6132, -36, -20839)
(-7, 69, -39, -4777, 292, -21853)
(49, 5, -97, 18907, 9548, -27477)
(76, 24, -30, -31117, 14620, -28215)
(-47, 47, 64, 31100, 18316, -26149)
(80, -113, -77, 21292, 24527, -25097)
(-77, 110, -22, 17409, -28322, -21691)
(42, 43, 53, 23472, 32648, -15266)
(-101, 13, 100, -28645, 32450, -1432)
(-6, -45, -28, -18642, 32450, 12712)
(-3, 80, 70, 16101, 30450, -19155)
(106, -28, -38, 31991, -11625, -32557)
(-25, -1, 32, 21861, 14596, 18613)
(126, -59, 81, 32408, 32450, 19701)
(-117, 116, -82, -7642, 32450, -28210)
(-54, -88, -29, -5767, 32450, 27648)
(19, -58, -30, -7209, -11124, 31302)
(91, 69, 62, -6475, 4552, -32557)
(-61, -15, -42, -13411, 18631, -24979)
(123, -79, 27, -5646, 25102, -19180)
(-125, -13, -42, -7247, -27125, -4777)
(41, 98, 109, 17680, 26482, 17055)
(-99, 23, 56, 8370, -31096, 1166)
(-39, -47, -79, 18191, 31560, 31557)
(92, -85, 83, -20747, 32485, 14162)
(-104, 65, 57, 19633, 16494, -24483)
(-86, 95, 118, 30293, -19005, -32556)
(64, 85, 57, 29191, -21092, 31118)
(-47, 121, -14, -29927, 28415, -9818)
(67, -124, -112, 29770, 30927, -24490)
(-79, -119, -66, -28791, 32451, 24193)
(-116, 106, 87, -28225, -31118, -32556)
(-28, -117, -107, -3115, -30704, -32556)
(54, 96, 62, 31993, 31439, -20132)
(-9, 32, 36, 15028, 32451, -25775)
(57, -5, 113, -32123, -16817, -24050)
(100, -116, -121, -8148, -10802, -4223)
(81, -54, -61, -8355, -4875, 9824)
(100, 81, -111, -9175, -7529, 3806)
(-60, -101, -89, -4112, -2385, 4362)
(-118, -56, -69, -4462, 879, 5865)
(-110, -107, 21, -1311, 7581, 8910)
(-43, 58, 106, -1372, 6084, 12291)
(-4, -99, 99, -11841, 1714, 23981)
(80, 10, 15, -14656, 1879, 16948)
(-30, -4, 104, -22743, -3100, 24558)
(-50, -54, -83, 1953, -1412, 27976)
(-81, 119, 125, -18674, -5600, 26515)
(-92, 1, 121, 13119, 5046, -32522)
(40, 1, 78, -10973, 1934, 30544)
(-76, -76, -78, 5171, 5241, -32760)
(-52, -59, 82, 19864, 9165, -32091)
(-70, -63, -91, -510, 15143, -32552)
(7, 38, 99, 9268, 26711, -32552)
(6, 19, -126, 24575, 11939, 32678)
(-109, 97, -85, 20429, 6045, 25206)
(102, 54, 17, 2180, 4986, 9153)
(-55, -7, -21, 8012, -1659, -11802)
(125, -46, -92, 9943, 3576, -8282)
(69, 23, -68, 9070, 2216, -11473)
(-71, -4, -44, 1075, -7176, -17651)
(-23, 20, -123, -13059, -6956, -23166)
(93, 3, -63, -3293, 284, -24159)
(39, -47, 14, 10995, 5840, 32723)
(9, 12, -107, 8241, 14142, 31463)
(-15, -72, -44, 6132, 28177, -32555)
(60, 81, -52, 3025, 17305, -26492)
(5, 30, 64, -15720, 30289, -14678)
(63, 36, -122, -7131, -30112, 7336)
(-55, -106, -10, -7480, 20181, 26025)
(-74, -70, 79, -9370, 20051, 21367)
(54, 34, 1, 19610, 2271, 30590)
(-65, 2, -94, -14206, -32593, 28507)
(-90, 10, 65, -31314, -28290, 31818)
(8, 71, 97, -22782, -15843, -22493)
(115, 49, 92, 15372, 25384, -6227)
(104, -46, -123, 4467, 32454, -24489)
(109, 29, 75, -2003, -26267, 29044)
(-37, -92, -34, -10003, -14521, 32371)
(-119, 55, -61, -18898, -185, -26681)
(-19, 16, 56, -16325, 12880, -19242)
(33, 126, 3, -14658, 31081, -3822)
(-13, 56, -112, -15863, 26748, 717)
(-85, 72, -54, -18640, -29832, 23997)
(81, -36, -92, -12127, 28975, 28447)
(73, 25, 48, -10279, 22220, -28049)
(-100, -104, -39, -27739, 19885, 32414)
(-23, 109, -29, -10037, -14819, -32360)
(-5, 60, -36, 2041, -17864, -32550)
(31, 42, -78, -27048, -29460, -11836)
(30, 4, -92, 24796, 27869, -16823)
(112, -14, -109, 3368, 32454, 21802)
(89, 6, -122, -352, 32454, -32550)
(-41, -73, -67, -15940, 32454, -32550)
(123, 79, 120, 31993, 32454, -5467)
(105, -14, -4, -30056, 32454, 2256)
(-101, -103, -89, -23840, -14779, 26023)
(-39, -100, -26, -2079, -22021, -2396)
(-26, -78, -10, -3635, -17466, -524)
(-26, 70, -98, -1031, -4187, 7359)
(13, 96, 98, 2169, -12441, 20884)
(113, 15, 9, 20871, -2411, -23888)
(56, -52, 17, -8841, 7365, 8627)
(8, -105, -111, -13627, -2636, 18866)
(16, 50, -98, -25086, -1604, 26351)
(37, -80, -102, 8154, 6749, 31412)
(95, 71, -71, -6811, 14770, 27177)
(126, -94, 24, 2170, 5936, -30767)
(116, 92, -119, -5486, 7371, -32266)
(-81, 24, 71, 1618, 20496, 30372)
(118, -73, 102, 10222, 15074, 29964)
(46, -46, -113, 2634, 14394, -31251)
(31, 6, -118, -216, 15020, -32549)
(-81, -8, 58, -317, 4296, 30093)
(123, -43, 57, 4233, 3809, 24007)
