(-78, 44, -18, 3109, 83, -924)
(-77, -13, -23, 3412, 56, -798)
(-78, -19, -3, -3459, -1421, -589)
(-78, -33, 16, -6016, -1542, -1901)
(-73, -57, 2, -599, -2137, -3086)
(-43, 121, 31, -2408, -1183, -3926)
(-18, 68, 24, -1913, -1991, -4028)
(4, -17, 43, 835, -1982, -3135)
(-16, -92, -102, -12021, 1540, 5228)
(1, -18, -51, -103, 2166, 765)
(59, -20, -92, -2547, 2874, 1935)
(77, 21, -95, -5353, 988, 3079)
(121, 117, -77, -5950, 1092, 1507)
(-100, -101, 8, -11474, -1578, 1639)
(-80, -78, -86, -4992, -2056, 276)
(-92, -92, -47, -4864, -2642, -3346)
(105, 68, 77, -4241, -1969, -6231)
(61, -35, 81, 367, -1462, -6608)
(-4, 69, 94, 70, -645, -6019)
(-22, -2, 78, 783, 129, -4457)
(-56, -96, 56, 1156, 1100, -2950)
(-66, -104, 56, -4252, 2865, -1063)
(-88, 99, -56, 914, 3482, 1803)
(-70, -96, -118, -409, 5471, 2678)
(-55, 25, -14, -2300, 3525, 2509)
(-18, 84, -58, -2551, 4258, 2601)
(71, -63, 126, -8680, 8536, 333)
(-97, -18, 59, -3902, 7656, 487)
(1, 88, 71, -14291, 7280, -3017)
(-4, -6, -57, -11072, 4816, -4013)
(-91, -50, -42, -4379, 7523, -3728)
(-75, -64, 12, -6474, 5971, 611)
(-55, -65, 80, -1854, 1527, 702)
(-46, -42, 98, -6205, 1398, 3237)
(-10, 29, 21, -11006, 2939, -785)
(-21, -20, 72, -1575, -574, 889)
(31, 43, 126, -11214, -143, 3285)
(-23, 71, 84, -17607, -5573, -2757)
(-84, 68, 45, -10877, -2840, -7570)
(-56, -106, -89, -1907, -2346, -6184)
(-11, 101, -86, 929, -189, -4895)
(-11, 117, -104, 1002, -1104, -4660)
(27, 119, -118, -5511, -4747, -6025)
(94, 8, -84, -12686, -4083, -5499)
(-32, -6, 72, -11838, 134, -6798)
(26, -62, 86, -6928, 2627, -7133)
(116, 113, -22, -17976, -2577, -13049)
(-53, -87, 16, -23320, -5406, -24843)
(-55, -128, -96, -16727, 11558, -27499)
(-47, -96, 14, -15609, 12537, -25699)
(61, 23, 83, -16274, 12606, -23002)
(18, 20, -62, -20508, 20807, -18475)
(76, -14, 64, -8553, -25857, -7938)
(-62, -119, -76, 4316, 32495, 198)
(-85, 112, -119, -8094, 32463, 8311)
(18, -48, 103, -12660, 32463, 8300)
(115, -6, -52, -24427, -9737, 21108)
(-23, 88, 81, -8045, 12102, 1030)
(-1, -11, -87, -6920, -13757, 22252)
(-4, 94, 21, 25058, 744, -10014)
(-16, -40, -89, -21479, 31118, 21069)
(0, -109, 111, -2988, -20039, -12116)
(63, 91, 12, 518, -15083, -14723)
(-77, -41, -37, 3916, -17827, -20979)
(-11, 76, 25, 2340, -418, 32762)
(-97, -87, -126, 2437, 5487, -21567)
(1, 32, 118, 4992, 18414, -7651)
(50, 115, 14, 2905, 23066, -5396)
(-63, 98, -72, -4527, 28662, -1953)
(-26, 95, -95, -1760, 26066, 2514)
(-57, -121, 56, -10702, 22219, 11008)
(-39, 8, -43, -17759, 19146, 17078)
(109, -93, 46, -16047, 5269, 21917)
(10, 79, -59, -23902, -1934, 21502)
(-86, 36, 72, -11123, -17381, 17230)
(-28, -23, -23, -10216, -13296, 10575)
(-124, 44, -62, -5709, -30960, -1725)
(12, -110, -90, -3571, -26751, -11544)
(107, 18, 36, 2418, -23652, -19530)
(76, -36, -48, 3166, -14783, -19667)
(-119, 39, -104, -71, -7514, -24787)
(78, -23, -8, 1888, 3350, -18411)
(-17, -23, -52, 4367, 13762, -11496)
(55, 54, 87, 5862, 20831, -6048)
(43, -82, -69, 725, 19059, -805)
(59, 107, -98, -964, 16793, -1490)
(2, 126, -119, -4315, 16586, 1485)
(-20, 122, -106, 3781, 7641, 4740)
