(0, 0, 0, 0, 0, 0)
(-71, -94, 67, -3397, 909, 1113)
(-71, -94, 67, -3397, 909, 1113)
(-69, -77, 67, 109, 144, -245)
(-68, -88, 81, 0, -164, 335)
(-67, -84, 74, 3022, -1586, 54)
(-55, -60, 75, -5569, 2143, 464)
(-40, -57, 106, -4866, 1492, 1518)
(-51, -63, 109, -269, -530, 941)
(-48, -52, 114, -3290, 1590, 863)
(-45, -31, 124, -2243, 308, 646)
(-47, -32, 118, -766, -466, 419)
(-58, -28, 79, -620, -1590, -54)
(-59, -19, 78, -3317, -514, 279)
(-58, 0, 87, -4292, -610, 504)
(-62, 2, 81, -2984, -412, 396)
(-53, 28, 101, -4230, 1302, 758)
(-43, 37, 119, -1210, 450, 479)
(-1, 77, -52, -7268, 4756, 947)
(49, 60, 68, -4683, 7183, 2216)
(-106, -37, 125, -18932, 17457, 6802)
(58, -70, -90, -17055, 27431, 12020)
(-97, -16, -47, 6996, 27572, 16679)
(98, 86, 20, 8076, 25262, 20911)
(54, 55, 27, 5285, 21712, 23295)
(-106, 127, 103, 821, 17915, 20687)
(-32, 78, -107, -5837, 10680, 27103)
(82, 26, -24, -4759, 6772, 25132)
(76, 2, -62, 17321, 385, 27181)
(28, -56, 51, 14136, 3878, 29516)
(34, -26, 96, 5338, 5538, 26466)
(28, 8, -50, 10471, 5344, 27699)
(67, 9, 126, -29896, 6078, 22874)
(120, 49, -57, 23961, 3750, 16133)
(-60, -124, 81, 17263, 3375, 4012)
(-42, -35, -108, 10614, 927, 1642)
(-97, 111, 8, -6430, 1291, -7592)
(94, -31, 0, 1100, -8910, -16661)
(-117, -49, -100, -5858, 3381, -29427)
(-68, -111, -115, 5797, -2335, -32001)
(102, 51, -2, -4964, 5050, 31353)
(-93, -104, -97, 2263, -15150, -32537)
(50, 18, 81, -22935, -22447, -32537)
(73, -59, -53, -28168, -7670, -32537)
(53, -72, -33, -5976, -17845, -32537)
(-21, -88, -110, -19899, -12244, -32429)
(-114, -59, 6, 30334, -7159, -19433)
(57, -96, 73, -13757, -11159, -12602)
(103, -64, -37, -11238, -2448, 5123)
(-27, 105, -29, -27928, -1871, 19161)
(48, -52, 6, -24938, 8709, 23739)
(-88, -57, -80, 22199, -10563, -15951)
(71, -90, 12, -1246, 8798, -25592)
(-10, -96, 65, -1764, -1967, -12775)
(73, -100, -26, 5517, -9083, -1288)
(-58, -24, 3, 4220, -7754, 1326)
(-37, -13, 66, -70, -12225, 6049)
(82, 106, -122, -4500, -6691, 13593)
(-128, 11, -105, 12402, -7629, 15830)
(-102, 15, 36, 4852, -8880, 22657)
(-42, -47, -1, 12236, -3422, 23807)
(81, -41, 16, 13907, -14810, 29668)
(-3, 38, -105, 4569, -1176, 31361)
(-91, -121, 95, 10434, -4202, 28351)
(1, -13, 0, 8431, -6236, 23999)
(-49, -111, 9, 8243, -400, 29696)
(-84, 101, 119, 25740, -410, 25349)
(112, -82, -40, 19895, -652, 26978)
(4, 97, 0, 18395, -1036, 20473)
(59, 120, -104, 13033, 630, 14217)
(-123, 39, -28, 669, 732, 3488)
(98, -20, -56, 7280, -1261, -1773)
(43, 38, 59, 4372, -3692, -4724)
(71, -78, 112, 4606, -4049, -7559)
(-98, 53, -74, 2335, -3231, -8331)
(116, -42, 31, -4367, -3617, -14324)
(116, -74, -28, 3744, -4979, -18434)
(38, -25, -13, -7867, -2113, -21847)
(5, -57, 49, -5452, -4551, -31013)
(120, 43, 48, -20745, -5412, -31907)
(0, 47, 68, -17565, -13865, 31922)
(69, 49, 123, -23557, -5985, -32538)
(-37, 71, -98, -12596, -11624, -32538)
(-35, -92, -88, -21778, -7155, -32461)
(-113, -70, 22, -25789, -8516, -27388)
(40, -109, 41, -24719, -1786, -13241)
(43, -42, -7, -22784, -6803, 1)
(-126, -37, -122, -24415, 927, 5120)
(127, 40, 91, -20285, -388, 17055)
(80, -22, -70, -6106, -754, 21811)
(-28, 73, 77, -6615, 670, -3345)
(87, 62, -96, 4076, -1884, -19657)
(-22, -36, -123, -2987, 2495, -12447)
(-47, -114, -111, 1431, -2926, -2608)
(-72, -121, 112, 10370, -6809, 3760)
(-47, -5, 48, 7934, -9423, 11843)
(83, -86, 64, -1149, -7398, 16376)
(50, 92, 14, 10565, -6801, 24353)
(30, -118, -69, 19921, -7057, 29512)
(72, -88, 65, 3109, -4612, 26977)
(-61, -47, -64, 11195, -6473, 28111)
(56, -111, -73, 15206, -6329, 30639)
(-91, -42, 47, 11673, 4149, 27726)
(43, 121, -80, 21458, -2133, 32133)
(118, 77, -50, 29904, -1163, 31978)
(13, -75, -35, 32639, 4324, -31838)
(104, -58, 4, 32745, 4820, 32040)
(41, 14, -31, 23786, -3023, 14583)
(-67, -28, -31, 21754, -4848, 5606)
(-93, 11, -14, 11968, -1676, 4920)
(103, -52, 117, 11125, -5, -63)
(55, 56, -74, 7166, -428, -2246)
(59, 99, -47, 8981, -2522, -3073)
(80, -77, 7, 7001, -2919, -2677)
(105, -21, 43, 6788, -4380, -9461)
(-87, -12, 90, 6286, -2223, -14033)
(-16, -54, -123, 7198, -6011, -23157)
(22, -57, -121, 827, -110, 30057)
(116, 10, 124, 15548, 3564, -26646)
(-95, -96, 124, 9563, 5590, -24074)
(-76, 49, 33, 18561, -18662, -22969)
(-44, 89, 55, -10302, -10987, -21418)
(107, 23, -95, -8157, -16294, -24611)
(-46, -17, 92, -15635, -8777, -19762)
(-9, 51, -124, -14631, -7086, -17421)
(77, 83, -67, -22921, -3307, -12559)
(-79, -40, -33, -17417, -3190, -13556)
(-95, -24, -50, -16414, -6604, -7903)
(-36, 53, 62, -15305, 275, -3591)
(-26, 107, 39, -23178, 9649, 8130)
(44, -96, -123, -19446, 8328, 25766)
(106, 29, -77, -16481, 19191, 24155)
(-117, 91, -43, -10461, 470, -4054)
(-95, 59, 125, 12994, -10632, 32572)
(56, -64, 57, 11424, -2287, -23552)
(-97, -6, 60, 4469, -7660, -6788)
(125, 124, -8, 9705, -14199, 100)
(73, -30, -89, -440, -14427, 8172)
(-59, -75, 35, -458, -11324, 11424)
(-44, -100, -35, 4465, -1303, 23184)
(-127, 118, 59, 3470, -7722, 21403)
(-122, -92, -74, 7072, -8026, 23737)
(-49, 48, -28, 2688, -3214, 26056)
(45, 121, 49, -2690, -1404, 28176)
(80, -103, 25, 1686, -4954, 30976)
(118, -119, -83, 17301, -5939, 29411)
(-102, 127, -50, -2307, -3488, 30196)
(-104, -18, 81, 4612, 4008, 31219)
