(-32, 71, -125, -2754, 1316, 608)
(-5, 91, -117, -2682, 2036, 1907)
(31, 109, -111, -2526, 545, 1923)
(59, 120, -95, -2009, -107, 1534)
(79, 120, -79, -1529, 1116, 844)
(110, 110, -73, -1359, -123, 1349)
(114, 114, -57, -2738, -845, 1585)
(122, 119, -19, -1380, -475, 1819)
(-104, 43, -34, -6502, 2517, -10811)
(121, -93, 100, -2144, 6278, -10323)
(-108, 82, -12, -10563, 9098, -21293)
(109, -113, 89, -11212, 4953, -24330)
(-32, -11, 57, -4339, 6779, 31687)
(-76, -9, 6, -9037, 1007, 31758)
(-65, -89, -16, -8060, -2080, -32481)
(110, -67, 43, -8825, -6946, -32481)
(-13, 5, -44, -7130, -11183, -32481)
(-15, 69, -21, -2681, -14255, -32481)
(-69, 13, 63, -2053, -18142, -32481)
(-123, 113, 116, 7675, -22456, -32481)
(103, 57, 45, 508, -20493, -31485)
(-98, -47, -1, 4204, -15691, -18464)
(-112, -88, -28, 1052, -14897, -6836)
(-79, -36, -82, 611, -7255, -845)
(6, -99, -92, -1699, 2544, 12026)
(92, -10, 96, -7045, 11422, 15920)
(-94, 44, 97, -1699, 24013, 28024)
(115, 72, -82, -2041, 20748, 30440)
(90, 75, -93, -15760, 23412, 26716)
(60, 124, 25, -12124, 19918, 31141)
(-71, 120, -79, -2239, 12046, 20331)
(-83, -40, 11, -2469, 5453, 27940)
(-59, 120, 107, 2328, 1364, 24749)
(-74, -111, 109, 356, 3147, 25693)
(-90, 66, -118, -11184, -2185, 25609)
(-83, -101, 2, -6020, -5241, 28827)
(85, 77, -93, 7910, -116, 32258)
(-70, 121, -53, 8187, -3438, 29389)
(2, 122, 102, 3500, -4520, 30143)
(-117, 82, 126, 10537, -1792, -32038)
(-32, 119, -66, 18681, 982, 32440)
(73, -109, -20, 22779, 6649, -32155)
(-79, 60, 101, 17199, 7852, -32479)
(17, 53, 36, 6887, 5772, 30592)
(15, 13, 32, 3377, -1094, 12591)
(112, 64, 110, 20315, -1633, -2414)
(6, -113, -11, 19139, -1200, -913)
(-37, 9, -121, 6015, 3208, 720)
(5, 17, -71, -2947, 4541, -1513)
(84, -10, -127, 1148, 1755, -5861)
(-94, -83, -114, 3366, -2063, -9008)
(62, -119, -57, -4854, -2903, -12813)
