(-20, 125, 99, 12, 1160, 1161)
(-2, -115, 83, -568, 2101, 2653)
(57, -61, 23, -1130, 2365, 3637)
(115, -11, -7, -1278, 2258, 4262)
(-46, 60, -45, -1236, 1914, 3755)
(-11, 84, -59, -288, 1980, 2119)
(18, 85, -97, 289, 1981, 975)
(28, 71, -107, -921, 1383, 1104)
(61, 50, -123, -182, 2226, 693)
(45, -63, -106, -4110, 3638, 646)
(-30, -102, 86, -2620, 4359, 1933)
(30, -113, 103, -749, 4657, 2451)
(61, -127, 82, 416, 2659, 3506)
(-128, 119, 80, -1819, 2604, 2475)
(-111, 120, 101, -2164, 1919, 1821)
(-106, -93, 109, -1894, -777, 663)
(119, -23, 65, 1407, -3713, -4385)
(-16, -71, -99, 1771, -5121, -14426)
(-25, 79, 91, -11067, -10278, -28216)
(23, 74, 117, -12898, -11824, 27859)
(117, 70, -86, 4139, -25824, -32551)
(-35, -94, -100, 31971, 28578, -32551)
(25, -64, 44, -1044, 31670, -32551)
(-70, 47, 96, -12981, 32439, -32551)
(-75, -87, -93, -22112, 32439, -30604)
(82, -24, 10, -31129, 32439, 969)
(92, 123, -19, -22218, 32439, 4284)
(47, 112, 122, -11947, -838, 91)
(14, 73, 6, -8818, 2887, 6130)
(-13, 34, 117, -7076, 13241, 7949)
(-107, 96, -60, 419, 14423, 13032)
(89, 104, -79, -1076, 27922, 16522)
(18, -8, 119, -7383, 30574, 16453)
(62, -108, -65, 9371, 31445, 20957)
(-99, 62, 18, -7424, -32019, 19770)
(89, 4, 46, -13261, 32439, 23523)
(-88, -46, -107, -14190, 32439, 15096)
(64, -58, -104, 12565, 28327, 17940)
(-77, -72, 34, 31994, 16650, 27293)
(-126, -33, -21, 7188, 11387, 26555)
(19, 42, 83, 13871, 7862, 27023)
(19, -122, 91, -4194, 21273, 25411)
(-31, -109, -97, 10447, 25072, 25011)
(48, 19, 111, 18712, 21662, 24083)
(106, -34, -78, 10352, 21501, 21066)
(-55, 36, 32, -935, 17, 5773)
(-80, -65, -14, 12821, 2572, 1434)
(-48, -39, -72, 7471, 1043, 128)
(-89, -23, -127, 1896, -1743, -2888)
(94, -52, -123, 1565, -3577, -2607)
(39, -69, 64, 934, -3601, -4887)
(-64, -48, 99, -7758, -2750, -3456)
(-117, -57, -87, -6117, -1698, -2642)
(37, -42, -15, -7211, -3541, -4255)
(-34, -50, 67, -9179, -2840, -5757)
(98, 114, -77, -7118, -4429, -9943)
(71, 9, -56, -5688, -8300, -12313)
(-68, 61, 20, -4891, -10749, -16189)
(-70, -63, 10, -18750, -20374, -18579)
(2, 69, 25, 6860, -17672, -19590)
(-43, 28, -58, -11455, -15783, -22461)
