(-97, 87, -121, -6673, -774, -5118)
(-36, 124, 8, -7690, -616, -5724)
(107, 123, 15, 17602, -8157, -8270)
(-110, 65, -80, 9612, -12043, -24850)
(-71, -44, -15, -13485, -858, 32475)
(-79, -20, -78, 1383, -10971, 31236)
(65, 43, 3, 7955, -17612, -32647)
(-20, -110, 46, 3386, -16524, -32543)
(105, -55, 101, -10252, -19727, -25686)
(25, -68, 72, -5657, -10198, -8117)
(113, 56, 2, 8191, -1279, 5845)
(87, 29, 4, 13771, 2861, 17957)
(34, -90, 95, -13212, 30228, 32408)
(23, -115, -73, -27842, 27733, -28788)
(11, 11, -77, -27419, 9079, -32543)
(19, 6, -47, -21102, 9100, 15402)
(31, -102, -47, 11337, 15136, -27397)
(71, -106, -49, 4034, 17089, -454)
(107, -47, -58, -5136, 7092, -8734)
(125, -43, -36, -8290, 20978, 31125)
(-56, -63, 42, -23422, 20112, 28577)
(63, -124, -103, -26793, 22136, -32543)
(119, -32, 33, -22978, 5961, -32543)
(17, 48, 38, -16625, 232, -32543)
(-46, -114, -86, 6565, 5686, -32543)
(-6, -71, -94, 5736, 5871, 3702)
(-51, -65, 96, 28393, -27144, -10812)
(56, -87, -111, -27819, 29257, 12532)
(-82, 119, 67, 1966, -1602, 137)
(104, 55, -32, 15320, -4739, 10579)
(-20, 13, -73, 22016, -2027, 19542)
(56, -86, -5, 11618, 8768, 19819)
(87, 112, 84, -2445, 11061, -31431)
(-64, -85, -8, -2553, 8010, 29641)
(55, 57, -119, 31817, -3060, 2285)
(5, -10, -66, 30309, -5608, 23565)
(-88, -83, 109, -16581, -19710, 7224)
(70, 76, -87, -3116, -12195, -1679)
(-80, 96, 83, -11324, -13816, 4021)
(65, 50, 2, -9409, 2368, -1769)
(-67, 81, -65, 189, 1303, 322)
(127, -89, 47, 9545, -9211, 735)
(-69, 119, 77, 7817, -967, 8709)
(0, -6, -72, 14293, 1329, 12339)
(23, 13, -84, -7234, -478, 18515)
(75, 26, -41, -6083, 4609, 27798)
(-109, 53, -126, 17339, 1462, 32693)
(-66, 33, 19, 13026, 1447, 24062)
(-52, -29, 106, -10173, 14938, 26079)
(-45, 59, 66, 9269, 9683, 32655)
(13, -127, -78, 12634, 4460, 26525)
(31, 44, 105, -12649, 8720, -29964)
(29, -24, -80, 1014, 9360, -32543)
(21, 98, 49, 19153, 207, -32543)
(-63, -70, -17, 28822, 1904, -32543)
(37, -75, -16, 15860, 4694, 30627)
