(-41, -11, 17, -651, 2357, 2279)
(-75, 12, 16, -5507, 1891, 2517)
(-98, 30, -90, -1984, 3080, 3580)
(-120, 36, -102, 595, 3740, 3731)
(96, 38, -84, 842, 2716, 4822)
(49, 67, -86, -1056, 1546, 5321)
(-31, -126, -114, -1691, 1384, 5270)
(-65, -77, 121, -268, 1712, 4603)
(-90, 0, 103, -1310, 3450, 4135)
(-66, 25, 74, -255, 2664, 1744)
(82, -80, -21, -2727, -800, -2052)
(31, 43, 9, -2580, 844, -467)
(43, 72, 26, -2888, 1093, 582)
(51, 97, 24, -3145, -83, 2149)
(69, -97, 33, -3515, 615, 2115)
(102, -60, 42, -2240, 366, 1934)
(-119, -27, 47, -2458, 306, 2289)
(115, 0, 75, -4814, -1274, 3139)
(109, 107, -98, -7707, -1555, 1485)
(99, -109, -22, -3949, -598, 722)
(97, -103, 12, -1261, 1385, -738)
(98, -100, -3, -1321, 1109, -1958)
(87, -116, -35, -844, 719, -2896)
(52, -113, -38, -6830, -1130, -1338)
(-44, -18, 110, -13706, -4703, -4460)
(122, 9, 54, -21746, -6331, -10828)
(54, -77, 127, -24631, -4942, -18737)
(-1, 22, -49, 31269, -7684, -24846)
(66, 3, -64, 30119, -12364, -29806)
(27, 46, 15, -20134, -657, -24379)
(-47, -40, -108, -27787, -15935, -26309)
(0, -56, 56, -26287, -22141, -31252)
(6, -121, 27, 31815, -30080, 31560)
(88, -110, 109, 31815, -30275, -32481)
(-35, -66, 5, 31815, -19564, -16569)
(-24, -67, 30, 14557, -5757, -11119)
(11, -61, 91, 31955, 15418, -23201)
(-44, -20, 91, 20915, 28788, -31775)
(-48, -67, 104, -16206, 24179, -19065)
(120, -67, -19, 9551, -30199, -31992)
(99, 10, 29, 30622, 3093, 14604)
(-38, -61, 110, 24444, -17819, 18519)
(-58, 121, 54, -27710, 1944, 7865)
(-88, 34, 79, -21378, -6594, -12235)
(100, 13, 8, 25463, -19496, 16422)
(94, -62, -68, -19533, -5297, 5944)
(114, 63, -39, 19716, -7451, 13290)
(-90, 103, 14, 31816, -11747, 17634)
(-6, 72, 88, 31816, 8316, 19720)
(-109, 125, -97, 31816, -4978, 18821)
(-112, 70, 0, 31816, -6307, 22034)
(55, -61, 86, 31816, -3992, 23455)
(38, 51, -115, -853, -7462, 26540)
(55, -107, -45, 5560, -4270, 25040)
(-82, -110, 64, 10604, -82, 20600)
(104, -119, 35, 3339, -289, 24916)
(-27, -118, 70, 11702, -4773, 23592)
(-19, 127, 4, 8566, -3118, 18109)
(-23, 48, -63, 8006, 209, 18404)
(102, 1, -126, 10852, 2186, 16994)
(-96, -108, -58, 5571, -2752, 16977)
(98, -42, 79, 9662, -1857, 14026)
(-32, -67, -74, 5101, -1583, 9078)
(-90, 56, -78, 2925, -1275, 4190)
(117, -33, -90, 1174, 1993, -2974)
(-121, -35, -61, 3415, 3109, -4277)
(-109, 56, -6, 8, 2951, -8207)
(-113, -51, 27, -1951, 4135, -10146)
(37, -46, 107, -508, 4566, -15434)
(74, -125, 111, -1824, 3813, -21183)
(61, -116, -104, -10309, -4440, -27086)
(-60, -55, 10, -10529, 2395, -24014)
(31, -86, 69, 14220, -20302, -24761)
(60, -25, -6, 10278, -18883, -32498)
(-97, 100, 32, 27848, -22331, 31730)
