(119, -14, -39, 15761, -27250, -32079)
(37, 119, 45, -29332, 25290, 25838)
(-44, -100, -107, -25121, -13576, -29540)
(31, -113, 36, -24306, -7558, -32079)
(-82, 81, 23, -32761, -25630, -10646)
(32, -72, -69, -12554, 22110, 22690)
(123, 20, 1, -979, 28715, 31024)
(-10, -72, 95, 23269, 13495, -13104)
(60, -43, -106, -9909, -7703, 27132)
(33, -64, -126, 24320, 11686, -32079)
(-51, 7, -45, -32443, 2243, -32079)
(6, -5, -90, -32443, -658, -29235)
(101, 19, 93, -32443, -24323, -25881)
(66, -128, -36, 324, 28035, -267)
(60, -96, -72, -32443, 28506, 2186)
(-90, 29, -108, -32443, 30748, 7443)
(33, 121, -15, -32443, 30748, 25231)
(-114, 29, 51, -15183, 30748, 9392)
(126, -4, -39, -16351, 30748, 1298)
(-6, -61, 126, 3607, 13623, -3828)
(-98, -38, 96, -17259, 31992, -23419)
(-108, -120, 61, 18998, -30592, -11411)
(-25, -71, 74, -18630, 843, 9020)
(-60, -25, -23, 30733, 1398, -5658)
(-60, -67, 69, -9811, 4918, -3991)
(-128, 33, 21, -15159, 7744, 4858)
(-43, -50, 16, -16359, 12443, 16642)
(-74, -29, -40, 22992, 7810, 25847)
(-85, -55, -21, -29076, 12489, -31787)
(-38, -98, -115, -32443, 11126, -30124)
(-28, -1, 92, 4503, 3777, -32078)
(80, -7, 24, 22437, -5498, -32078)
(123, 16, 45, -23004, 7142, -32078)
(-119, -81, 116, -26064, 17107, -32078)
(19, 25, 85, 21707, 14409, -32078)
(-23, -117, 35, -28647, 6415, -32078)
(67, -103, 18, 327, 30748, -12336)
(68, -111, 110, -32442, 10871, 21792)
(35, 56, -89, -10991, -21463, 9891)
(21, -20, -32, 30590, 14866, -9439)
(35, 40, -57, -25491, -10804, -9475)
(-63, 113, -80, 15405, -13513, -3039)
(-89, 119, -92, -29117, -24534, 4340)
(-126, 125, 31, -27418, -12366, 3437)
(-68, -99, -67, -4160, -1757, 4484)
(-53, 52, 97, -7387, 22633, -16027)
(-119, -126, -11, -11644, -25946, 22113)
(-9, 56, -31, 8760, 28672, -32078)
(113, 81, -105, -11953, 31440, -32078)
(50, 93, 65, -9610, 16313, -32078)
(-18, -53, -112, -844, 24589, -32078)
(114, -73, -102, -11917, 491, -32078)
(33, 14, -25, 29446, 14819, -32078)
(110, 14, 61, -24015, 14173, -32078)
(-73, -13, 44, -8656, 23738, -32078)
(54, -49, -110, 6608, -3920, -19262)
(22, -128, -103, 21187, -9283, -6801)
(-10, -114, -29, -12752, -25748, -7025)
(-1, 35, -82, -22770, 22734, -10345)
(-84, 117, 92, -15006, 30746, 6072)
(-92, -35, -73, -29189, 30746, 10213)
(-108, -50, -108, -32443, 30746, 27710)
(32, 79, -42, -32443, 30746, 30936)
(-100, 92, 28, 2794, 30746, 17762)
(72, -66, 22, 10425, 30746, 12189)
(30, 124, -54, -6735, 17332, -6737)
(111, 111, 88, -9893, -22886, -16536)
(46, -86, 69, 3184, 6413, -4525)
(63, -105, 71, -2693, -24418, 13344)
(22, -17, -93, -13100, -1748, -18196)
(-71, -102, -73, -31097, 12104, -24931)
(96, 71, 1, -26058, 14584, -7827)
(15, -97, 9, -32443, 7758, 5774)
(-116, -110, 103, -32443, 1080, 10070)
(47, 78, 108, -32443, 3093, 15955)
(27, -46, -57, 29290, 375, 26386)
(-97, -116, 127, -31176, -2067, -28137)
(117, 116, -123, 17975, 8533, -31461)
(24, -114, 65, -4187, 26565, -32077)
(-88, 65, -66, -18338, 14026, -32077)
(95, 123, -11, -6029, 11166, -32077)
(55, 53, -51, 22822, 6988, -32077)
(-105, 89, 119, -2828, 4464, -32077)
(-37, 22, 47, -31187, -7560, -25362)
(63, -106, 95, 21752, -1211, 20299)
(-94, -96, -110, -32443, 25117, -32077)
(-85, -94, 37, -32443, 28719, 12496)
(-69, -94, 60, 324, -3738, 9042)
(44, 74, -52, -32443, 6901, -8540)
(-109, -75, 88, -32527, 26794, -24194)
(-113, 112, -23, -25390, 25520, 31519)
(-11, 8, 53, 8472, 9267, 31667)
(5, -16, 125, 25673, -26453, -32077)
(111, -98, -71, -6343, 7870, -32077)
(-69, -110, -48, 6562, 13523, -32077)
(62, 57, -90, -855, 5278, -32077)
(-68, -88, -92, 18367, 4723, -32077)
(-64, 53, -112, -18744, -3604, -32077)
(-96, -43, 95, 2873, 4664, -32077)
(-61, -12, -74, 10526, -1149, -32077)
(-44, -37, 56, 28395, -19616, -11237)
(48, -39, 58, 28129, -22164, -5313)
(-45, -86, 36, -18087, -31262, -9087)
(24, 61, 113, -4462, 26957, 23479)
(62, 70, 101, -32444, 30746, -27046)
(-42, 18, -6, -21432, 30746, 1599)
(-82, 85, 3, -14270, 30746, 752)
(-46, -30, 105, 18239, 30746, 12577)
(-82, 80, 44, -26947, 30746, 23541)
(91, -94, -123, -25267, -25480, -14088)
(35, 42, -122, 10798, 20506, -13261)
(-73, 56, -63, -5210, -12224, 8396)
(80, -78, 120, -4372, -6981, 5176)
(36, -31, 91, 11585, -8055, 1515)
(51, -71, -88, -22127, -5282, -6528)
(-85, 24, -81, 18396, 19671, -20698)
(-50, 38, 91, -80, 13974, -4507)
(-82, 30, -109, -23628, -4553, 88)
(39, 106, -66, -30309, 16266, -5747)
(-81, 59, -96, -32444, 1077, 6547)
(49, 78, 84, -32444, 14393, 22552)
(41, 78, 103, 12801, 28950, 31986)
(127, 124, -26, -25681, -17296, -28670)
(127, -76, 54, 2383, 21814, -32076)
(42, 89, -26, 22856, 5309, -32076)
(-80, -1, -66, -32177, 18804, 26152)
(-73, 75, -80, 11835, 8494, 24362)
(-43, 113, -2, -4282, -14100, -28232)
(88, -20, 119, 3655, -3032, 26000)
(-10, -62, -31, -17613, 26158, 9802)
(-59, -10, 10, 31519, -20442, 1798)
(-126, -84, 101, -11308, 12737, -16755)
(106, -54, 19, 11382, 12332, -5835)
(19, -60, 10, -12086, 8691, -4632)
(-47, 111, 90, -9923, 8010, -16805)
(61, 18, 81, -23809, 22268, 23919)
(-52, 119, 10, 22423, 31856, -32078)
(-43, -66, -9, 20508, 26093, -32078)
(6, 56, 14, 6180, 11013, -32078)
(-27, -34, 30, -11037, 5452, -32078)
(22, -32, 44, -1596, -7651, -32078)
(84, 117, 56, -22639, -9772, -32078)
(31, -84, 15, -22975, 3103, -32078)
(-94, -74, -39, 27177, -22527, -21722)
(-6, -13, -60, -26968, -16672, -11893)
(-124, 33, -53, 31949, -29945, -2802)
(-59, 55, -40, 18866, 26023, 3473)
(121, -20, 39, 20483, 30744, -1238)
(-17, 16, 1, 14522, 30744, -1709)
(-32, -50, 112, -23933, 30744, 4248)
(75, 56, 95, 23947, 30744, -26725)
(21, -83, 65, 26779, -20885, -4872)
(31, -50, -119, -1783, 13108, -17445)
(-117, 12, 74, 11153, 30837, -15650)
(123, -71, -67, -21523, 8367, 1194)
(-7, 75, -95, -13384, 2451, -7954)
(88, 112, 67, -18893, 30247, -7594)
(-74, -79, -123, -31656, -30466, 2680)
(-50, 2, 106, -32445, 30745, 8479)
(-81, 7, -84, -32445, 11675, 29688)
(106, 63, -106, -32445, 17550, -26150)
(21, 34, -65, -32445, 22355, -32076)
(-7, 67, -107, 15302, 29117, -32076)
(99, -93, 33, -5206, 26943, -32076)
(-93, 9, -118, -10421, -12023, -32076)
(9, -37, -122, 18600, -10018, -32076)
(-62, 46, 71, 20452, -31933, -1946)
(-80, 3, 28, -19341, -219, -21307)
(-83, 106, 112, -6859, 15410, -22891)
(-82, 56, -128, 13640, 3020, -15728)
(-38, 62, -32, 28044, -5359, -143)
(19, -39, -62, 23862, -1008, -4157)
(-4, -40, -6, 7601, -4485, -26028)
(36, 111, -85, -9551, 16182, 32087)
(94, 6, -14, -11609, 12213, 31724)
(59, -12, -64, -4082, 7257, -32076)
(-82, 37, -45, 26816, 6511, -32076)
(-57, -80, -74, 31523, -2814, -32076)
(-59, -126, 54, 8633, -6718, -32076)
(-69, 6, 32, 1399, -22996, -32076)
(-7, 53, 37, 7140, -15121, -32076)
(-31, 113, -58, -29856, 29147, -32076)
(98, 28, 125, 25696, -25175, -32076)
(-110, -63, 15, -32446, 12203, -20193)
(109, -107, -123, -8738, 27637, -12346)
(105, 10, -34, -25016, 26102, 10348)
(5, -44, 126, -4144, 30743, -3858)
(42, 28, -77, -28740, 30743, 3164)
(-19, -11, -22, -2680, 30743, -12532)
(-114, 92, 111, -19339, 30743, -5338)
(121, 42, -61, 30098, -32415, 16380)
(80, 107, -24, 6488, 12859, 16702)
(-9, -15, -48, 24537, 27880, -21661)
(122, 75, 18, 19843, 5726, -3499)
(0, 104, -50, -29098, -18703, 6374)
