(120, 55, -66, -22128, -30075, -17516)
(-96, -79, 6, -25960, 27164, -8105)
(-10, 12, -7, 29789, 21598, 7308)
(-10, 67, 23, -32441, 7042, 26471)
(70, -86, -80, -23423, 4629, -24265)
(50, 122, -7, -1749, -9517, -32074)
(-44, -34, -85, 21244, -29379, -32074)
(-104, -36, -1, -3330, -13115, -32074)
(-48, -77, -15, -20024, -20949, -32074)
(37, 110, -104, -31297, 22935, -32074)
(123, 111, -34, 328, 15866, 17209)
(-33, -26, -36, 326, -30261, -21972)
(-40, 21, -106, 18726, -9177, -25399)
(-92, -119, -26, -6995, 30735, -30465)
(-72, -78, -98, -24081, 25588, -30288)
(8, -2, -12, -17339, 13995, -32073)
(-14, -80, 70, -21682, 16166, -32073)
(-69, -77, 29, 26366, 30222, -32073)
(122, -52, -98, 11505, 21523, -27239)
(94, 30, 22, -1165, 1863, 20930)
(60, -110, -52, -10100, -31093, -324)
(37, -90, 100, -32442, -30412, -7151)
(-88, 74, 12, -30208, 28860, -17484)
(-69, -19, -47, -17720, -22397, 24655)
(-78, 114, -109, -30316, 26601, -32073)
(-46, -23, -59, -16189, 30735, -27160)
(98, 54, 107, -8433, 30735, -17178)
(-112, 40, 99, 28920, 30735, 794)
(83, -94, 52, -11075, 30735, 10835)
(-10, 123, -99, 4898, 30735, -32030)
(-115, -21, 14, -17267, 30735, 27262)
(-7, 77, 109, -32443, 30735, 22277)
(28, -49, 83, 16279, 30848, -13150)
(7, 41, -74, -27169, -24548, -11034)
(-61, -51, -4, 4872, -26002, 11505)
(97, -49, -61, 17951, -15972, 2405)
(31, -40, 75, 1288, 29566, -4227)
(114, -32, 20, 20683, -26033, 19241)
(-97, 0, -26, -23864, 30736, -23722)
(26, -54, -69, 13427, 30736, 17056)
(89, -77, -50, 6880, 30736, -26887)
(80, 46, -67, 323, 30736, -31892)
(-117, -53, -50, 22770, 30736, -25175)
(20, 92, 9, -26039, 30736, -6668)
(95, 22, -69, -4305, -19813, 29642)
(-65, -87, -119, 16995, -17951, 30448)
(-58, -39, 108, -20858, 30736, -14660)
(-19, -100, -88, -20484, 30736, -9243)
(54, -89, 74, 27202, 30736, 9163)
(97, -48, -41, -32443, 30403, 25340)
(-2, 117, -101, -25259, 12727, -24082)
(107, -92, 76, 1421, -28760, -32071)
(99, 86, -120, 21007, -5839, -32071)
(-59, 22, 97, 16459, 10160, 9891)
(-14, 94, -113, -15976, 30736, 8642)
(-100, 56, -20, -32443, 30736, 18363)
(38, -72, -113, -26837, 30736, -15222)
(22, 104, 71, -20854, 30736, -22779)
(36, -34, -79, 3121, 30736, 25817)
(23, 48, -128, -32443, 2006, -32072)
(-38, -31, 48, 11081, 16718, -32072)
(-53, 116, 11, 31463, 16683, -28079)
(-46, 20, -61, 28801, -28140, -8606)
(109, -74, -112, -32443, 30068, -1952)
