(29, 63, 15, 2621, 5791, -32013)
(89, 58, 8, -17894, 722, -32013)
(-127, 25, 117, 23472, -1292, -32013)
(5, -8, -68, -30275, 8429, -32013)
(6, 124, 82, -22248, 6594, -32013)
(62, -91, -82, 29420, 6704, -17614)
(-88, 67, -90, -32467, -1571, 8022)
(-25, -93, 101, -32467, 1554, -29914)
(77, 1, 23, -30344, -12822, 29161)
(-14, 80, 126, -407, -31300, 6606)
(76, 28, 53, 14625, -20438, 32642)
(120, 119, 111, -12163, -18114, -32012)
(-103, 46, -32, 28476, -14576, -32012)
(-116, -9, 35, 29387, -13685, -11073)
(-69, -80, 100, -32467, -16899, 4388)
(-62, -13, -43, -32467, 27729, 23349)
(28, 24, -91, -32467, -13626, 25517)
(-76, -92, -51, 9908, -14941, 20135)
(-110, -59, 9, 8599, -26811, 30512)
(-55, -53, 44, -1607, -20899, 30231)
(-28, -25, -93, -16119, -3158, 22022)
(-124, -78, 52, -32467, -13070, 17226)
(-4, -105, 15, 32224, -4344, -1332)
(-81, -67, 123, 25506, -5110, -13545)
(-22, -111, 15, 13770, -4691, -11662)
(-91, 9, -119, 17223, -1565, -21396)
(-50, -33, 21, 6614, -1255, -22856)
(-53, -40, 113, 1553, -7402, -10952)
(-55, 59, -29, 1128, -3698, -1096)
(-72, -40, -78, 5785, 2181, 4508)
(92, 32, -64, -777, -886, 4023)
(-70, 115, 106, -1519, -5717, -1034)
(116, -58, 59, 1960, -2932, -1059)
(-118, 23, -105, 13498, 1468, -14279)
(-19, 29, -121, -2703, -6621, -31106)
(23, -11, -57, -18283, -13568, 29510)
(34, 42, -55, -16145, -6155, -25869)
(8, -70, 35, 24172, -15031, -9316)
(-73, -127, -98, -32470, -15143, 19446)
(16, 99, -57, -32470, -19403, -21661)
(85, 90, 31, -4441, -9714, 25966)
(105, 27, -28, -26347, -18992, -31380)
(-97, 101, 47, -7370, -15450, 29510)
(53, 121, 102, -4615, -11101, 10361)
(-51, -48, 14, -14776, -5208, 24472)
(57, 21, 52, -32470, 8942, 15819)
(3, -117, -51, -32470, 636, 5209)
(93, 6, -122, -32470, -12332, -30848)
(-68, -124, -58, -32470, -20842, 26232)
(-80, 96, -32, 7390, -28502, -32010)
(10, -55, -77, -16680, -8872, -32010)
(-5, 78, 13, -14497, -15127, -26191)
(-120, 11, -52, 22630, -15145, -8597)
