(0, 0, 0, 0, 0, 0)
(87, 122, 27, 1893, 1251, -3259)
(87, 122, 27, 1893, 1251, -3259)
(110, -94, 54, 4598, 952, -2176)
(86, -34, 106, -1323, -965, -1640)
(96, -61, 76, 137, -532, -1174)
(98, -68, 75, 1245, -1183, 122)
(89, -62, 84, 100, -1412, 366)
(79, -65, 78, 1207, -1555, 1341)
(70, -60, 86, 378, -1965, 2112)
(53, -68, 78, 1502, -2857, 3166)
(45, -55, 91, 215, -3036, 3324)
(26, -61, 92, -389, -2659, 3115)
(16, -73, 80, 48, -2127, 2647)
(-10, -86, 66, 804, -1419, 1934)
(-26, -76, 64, 1360, -2122, 1550)
(-35, -29, 74, 3132, 275, -188)
(-79, -104, -115, -6045, -866, -12355)
(-28, -103, -4, 14818, -4949, -24565)
(-35, 2, -83, -11972, 7764, 26917)
(82, -110, 76, -20573, 10518, -32103)
(44, 16, 2, -24982, -11208, -32103)
(-31, 38, 42, 26302, 2750, -32103)
(-52, 118, -55, 31189, 7144, -32103)
(-92, -39, -94, 21072, 4737, -32103)
(-55, 93, 46, 15286, -13916, -32103)
(-52, -18, 111, -32420, -31909, -24240)
(-36, -90, 21, -5643, -9138, 18087)
(123, 127, -36, 24191, 21940, 6532)
(13, -90, -5, 18677, 30332, -5405)
(76, -33, 105, -8463, 30819, 26453)
(-113, 3, -95, 15928, -8474, 11113)
(-93, 17, 81, 12044, -14114, -4743)
(-103, -54, -95, -21362, 4084, -27729)
(36, -128, 54, -32419, 32306, -16384)
(114, -120, 19, -32419, 21479, -5931)
(119, -30, 62, -32419, 16639, 663)
(-33, 29, -87, -32419, -15056, 8368)
(-67, 87, -52, -32419, 290, 15750)
(-76, 97, -68, 12700, 7522, 31285)
(63, -126, -21, 3611, -22032, -27824)
(-94, 84, -40, 13623, 22541, -32103)
(88, 55, 38, 10881, 16509, -32103)
(4, -123, -80, 13473, -25182, -32103)
(-128, -2, -93, 10900, 31914, -32103)
(-100, -10, -119, 13577, 32198, 22436)
(-10, 67, 77, 347, -25793, -28438)
(31, -73, 50, 349, -5570, -22222)
(-7, 98, -39, -32420, -16463, -20376)
(-21, -115, 79, -1536, -10399, -10083)
(42, -22, -108, -14576, 11462, -12919)
(-103, -3, 87, -17982, 6762, -4947)
(29, 33, -118, -7233, 18553, -30699)
(56, -113, -49, 29344, 7231, 32119)
(49, -41, -36, 22636, -2754, 32347)
(27, -40, 93, 27728, -8792, -32103)
(-114, 114, 60, 8938, 4913, -32103)
(40, -31, 117, 18743, -17537, -32103)
(70, -40, 45, 29285, -30546, -32103)
(41, -105, -25, 5070, -2482, -25942)
(43, 29, 67, -32419, -10692, -21008)
(-98, 111, 72, -32419, 30919, 3849)
(-29, -3, -21, -25895, 26725, -5823)
(23, 126, 87, -5232, 30818, 2613)
(-50, 84, 69, 17487, 30818, 4810)
(53, 80, -105, 22628, 30818, 25291)
(110, 37, -12, -15425, 30818, -7551)
(50, 70, 62, -24760, -29583, 13338)
(107, 84, -115, 10797, 28490, -9984)
(-52, -102, 38, -22935, -6435, -11715)
(64, 9, -117, 20196, 15759, -14292)
(-92, -54, 99, -28112, -25132, -9199)
(-62, 101, -52, -32419, 27464, -5427)
(18, -8, 60, -32419, 14654, -3684)
(47, -29, 92, -19563, 30788, 5976)
(49, 2, -4, -14859, -1136, 16086)
(-65, 18, 52, -32419, 14951, 29748)
(-23, 119, 75, -12926, -25665, 23162)
(-67, 19, 46, 24451, 12882, -29050)
(-102, -96, 52, -6029, 16664, 25892)
(103, 69, -27, 1503, -8461, 26942)
(-50, -47, -47, 348, -7434, 7708)
(-2, -91, -102, -32419, 1117, 8988)
(44, 117, 62, 28684, -4689, 1800)
(-108, -42, 103, 23673, -5902, 907)
(-67, 108, -4, -31596, -4576, 2088)
(-60, 92, -100, 17345, -7156, 1154)
(74, 109, 26, -31277, -5672, 763)
(79, -69, 30, 8114, -3462, 485)
(116, 101, 56, 6318, -2568, 147)
(125, -107, 11, -26592, -4065, -3522)
(-65, -41, -5, 9410, -782, -7074)
