(126, 7, 95, 21430, -22691, -32033)
(0, -58, 51, -18825, 30694, 5633)
(11, 30, -56, -25671, -28480, -25686)
(115, 93, 4, 4664, -15118, -31052)
(-23, 93, -49, 15516, 30694, -28395)
(37, -88, 56, 22927, 20162, 21368)
(-31, 28, -117, -18153, -24971, -28033)
(-96, -121, -25, 28965, 19351, -18134)
(15, -36, 102, -2970, -14575, 25072)
(-99, 9, 23, 2733, -5963, 6944)
(-118, -39, 110, -11886, 2935, -10011)
(-81, 16, -104, -458, 11877, -10797)
(62, -92, -29, -1964, 6160, -4369)
(-121, -79, -63, -2555, -1619, 1371)
(-109, -82, -108, 2030, -3043, 1260)
(-111, -85, -83, 2925, -3486, 410)
(-91, -73, -41, -149, -2782, 3880)
(125, -75, -54, 4000, -1728, 2394)
(107, -88, 7, 1927, 1495, -241)
(-124, -87, 44, 5063, -367, 1459)
(115, -57, -114, 996, -4384, 4222)
(30, -66, -113, 6792, -5602, 672)
(-22, -13, -27, -2471, 3143, -5810)
(-32, -42, -85, 250, -7469, -7426)
(-119, 46, 79, 8148, -24951, -10030)
(-26, -34, 67, -165, -12352, 2058)
(121, -10, -107, -13122, 4722, -5524)
(-38, 70, -56, -2875, -19501, 19584)
(-76, -50, 102, -947, -23019, -32033)
(70, -4, -67, -4500, -23721, -32033)
(27, -38, -117, -682, 29548, -32033)
(-37, -104, 122, -8873, 29006, -29864)
(-15, 10, -86, 27287, 30692, 31798)
(6, 118, -112, 14245, -26664, 23640)
(25, -67, -79, -13649, 26914, 29618)
(-84, 52, -106, -21940, -23571, -32033)
(-36, -96, 21, 15878, 9773, -24899)
(98, 104, 88, 16410, 25177, 4924)
(123, 116, -61, -28193, 20179, -12377)
(-127, 111, 57, -1175, -32108, -32033)
(-11, 76, 5, 10718, 31306, -32033)
(-71, 76, -40, 4905, -5968, 29411)
(112, -63, 106, 983, -22498, -11134)
(122, -69, 12, -526, 8752, -106)
(-2, 58, 15, 2359, -20603, -6882)
(-49, -5, 124, 32193, -1925, 32332)
(-106, 121, -65, -10566, 32734, -25343)
(108, 4, 15, 23607, 6190, -32033)
(-6, -17, -57, 22329, 5499, 12066)
(15, 67, -76, -26107, 24628, -16786)
(7, 117, -18, 7278, 23765, 30535)
(-60, -73, -80, 1261, 32295, 8106)
(8, -63, 36, 20964, 31589, 734)
(37, 1, -13, 26900, -7243, -32033)
(-45, -48, -59, -19535, -9036, 22583)
(98, 110, 5, -13198, 23635, 31953)
(29, -106, 13, -11715, 7296, 26502)
(118, -27, 18, 28177, 6389, -23831)
(-41, 84, 59, -23582, -5542, -2982)
(1, 27, -29, -3500, -26534, -4304)
(56, 36, -102, -12820, -12922, 2809)
(-13, 85, 121, -8461, -3485, -8150)
(-109, -40, -98, 16341, -6887, -3479)
