(-90, -43, -57, 1069, -2212, 232)
(-82, -32, -89, 2215, -2200, 1007)
(-85, -45, -49, -436, -530, -1099)
(-80, -11, -85, 5096, -2824, 1857)
(-92, -32, -31, -1240, -1275, -1178)
(-75, -13, -119, 8759, -1779, 4102)
(-117, -55, -32, 1185, -3215, -2750)
(-60, -2, 94, 12142, -3131, 5889)
(-98, -120, -56, 1752, 1446, 2616)
(-113, 103, -35, 13785, -3668, 5011)
(126, 72, -28, 13700, -5611, 5443)
(98, 8, 14, 8352, -3049, 5626)
(67, 19, 19, 13601, -16303, 1803)
(-106, 32, 127, 19914, -18206, 5267)
(52, -76, -27, 27915, -5949, -17967)
(-26, -87, -123, -20305, 12147, 17681)
(-2, 26, -39, -27429, -3797, -6345)
(21, 74, -95, 6427, -5571, 8446)
(88, -3, -57, 8855, -8824, 1420)
(23, 76, -45, 914, 265, -7479)
(-23, 14, -11, -16051, -8644, -19888)
(11, 45, -53, 30, -21023, -11468)
(-112, -54, 53, -18668, 29604, 14322)
(-77, -115, -63, 25613, 27962, -19035)
(3, 26, -33, 10613, -26306, 22921)
(70, 97, 75, -22437, -10192, -32043)
(-41, 38, -124, -29848, -1419, -32043)
(90, 23, -81, -32533, -3223, -32043)
(65, 57, 43, 27388, -13816, -32043)
(27, 37, -42, -30662, -18939, -5013)
(-66, -9, 127, 15316, -15922, -3125)
(37, -10, 86, 7201, -11195, 1511)
(96, 99, 74, 12271, 11815, 5309)
(113, 71, -122, -26907, 3482, -4899)
(-101, -41, -100, 1836, -17796, 24675)
(-19, -96, -13, 7750, -14979, 13795)
(-47, 29, -108, 20979, 1618, -22511)
(109, 83, -128, -3710, 20668, 5337)
(33, 75, -114, 7925, -3952, -13681)
(-116, 38, 42, -11172, -1526, 16992)
(-61, 88, -76, -28221, 9546, 21958)
(39, -7, 49, -17591, 2659, 16538)
(113, -118, -91, -31249, 13617, 19658)
(-97, -26, 113, -4874, -24656, -28556)
(-101, -33, 109, 22865, -4441, 23538)
(-16, 31, -105, -32535, 1841, -28291)
(33, 48, 0, -11935, -21304, -32040)
(69, -82, 91, 10612, -6790, 13726)
(87, -29, -117, -6396, 4448, 6990)
(69, 126, 88, -9184, -21912, -21008)
(-86, 83, 56, -31677, 30706, 729)
(53, -28, -35, -8192, 953, -2218)
(-57, -85, 69, 21150, 19604, -13625)
(15, 16, 119, -23566, 26790, -30570)
(91, 119, 66, -2759, 1653, 21294)
(10, -34, -48, -32536, 29058, 9225)
(-12, 58, 76, -32651, 23046, 32019)
(99, 42, -32, -799, -13701, -32041)
(117, 5, -14, 15500, 24572, 30884)
(59, 102, -41, -6460, -20844, 10652)
(-3, -48, 114, 7275, -29758, -32277)
(95, 46, -128, -6288, -21518, -11303)
(-73, -102, 15, -2199, 3823, -30688)
(-71, 19, 108, 10255, -7972, 31325)
(81, 111, 54, 15722, -21588, -32288)
(92, -118, 20, 8342, 32706, -24093)
(-27, -1, 42, -7951, 27015, -2449)
(-107, -72, -77, 15720, 30705, 28331)
(-71, -102, 16, -20933, -10307, 31621)
(-12, 66, 18, -32536, -6592, -32042)
(-104, -127, 14, -32536, 5947, -32042)
(-110, -88, -77, 29008, -11469, -32042)
