(-24, 65, -92, 28, -1409, 822)
(-21, 62, -97, 1561, -545, 382)
(-39, 82, -83, 911, -211, -225)
(-50, 95, -74, 412, -2295, 1453)
(-35, 81, -88, -103, -2244, 1236)
(-12, 72, -108, 1628, -1578, 436)
(-4, 87, -106, 952, -948, 342)
(-6, 106, -99, 716, -926, 725)
(-8, 102, -96, 1130, -1713, 945)
(-16, -104, -94, 992, -928, 822)
(-17, -117, -92, 1084, -954, 135)
(-17, -101, -90, 758, -1948, 684)
(-2, -99, -97, 317, -1533, 1205)
(-2, -111, -102, 984, -1109, 575)
(-46, -83, -87, 3778, 7365, -5562)
(24, -43, -14, -16282, -11145, -17609)
(107, -125, 83, -4005, -20943, 32637)
(24, 102, -15, 25552, -8038, 30600)
(-52, 79, -86, 18770, -6290, -32035)
(14, 10, -21, 28919, -15768, -32035)
(-120, -24, -30, 32022, -23699, -32035)
(123, 84, -97, 16784, -25346, -30236)
(109, -122, 127, 28043, -32575, -1894)
(-45, 18, -113, 24129, 2065, 2606)
(10, 0, -89, 26239, -1972, -24609)
(89, 58, -99, -32541, -8433, -28574)
(-12, -73, 0, -31788, -3261, -32034)
(45, -124, 17, 502, 20372, -32034)
(-46, -101, -111, 14081, 7188, 21167)
(100, -5, 39, 9413, -2227, -32655)
(19, 56, -107, 22856, -10239, 31439)
(-5, -11, -101, -27028, 11161, -32034)
(94, 52, 15, -31878, -29342, -32034)
(-65, 1, 74, -22423, 2873, 25577)
(-126, 23, -95, 18700, -14919, -18470)
(81, 31, -88, -31062, -29531, -32034)
(-40, 55, -122, -29138, 19910, -32034)
(72, 96, -104, -1072, -10535, 9443)
(-61, 54, 41, -29081, 19329, -11549)
(-110, 3, -23, 19607, -10617, 18425)
(-13, 47, -91, 11640, 22932, -32034)
(-121, -59, 29, -21636, 28077, -32034)
(-45, -58, 9, -32541, -29986, -32034)
(104, 4, -74, 11662, -26896, -31780)
(-32, 108, 27, -4845, -22714, -22453)
(-113, 1, -95, -13057, -15474, 22724)
(-83, 62, 1, -11756, 1919, 29376)
(126, 86, -113, 27348, -22682, -26177)
(76, 112, -32, 23547, 32618, -32033)
(52, -58, 63, 22093, -4541, -32033)
(21, -15, -75, 29894, -22831, -32033)
(-33, -79, 2, -30337, 19727, -31335)
(-104, -60, 48, 3224, 30826, 5072)
(-108, -73, -64, -846, 24130, 17417)
(74, 24, 5, 8292, 21763, -31851)
(-126, 104, 20, -21664, -27460, 674)
(117, -25, 92, -12596, -2764, 17134)
(60, 112, -66, -14583, -18271, 13158)
(12, -6, 89, 26648, 29936, 4710)
(16, 2, 26, 25585, 26810, -8897)
(-60, 25, 99, 5562, -24425, 18042)
(84, 28, -57, -21467, 16447, 5833)
(94, -89, 85, 4884, -20284, 515)
(107, -65, 114, 13077, 26372, 24070)
(18, 124, -46, 4013, 32176, -8650)
(20, 49, 70, -1321, 30725, 27178)
(19, -111, 92, -6947, -21232, -25080)
(67, 126, 98, 5746, -18328, -26059)
(7, 44, -23, -30557, -30658, 13037)
(-75, -120, -19, 13124, 15022, 13697)
(108, 2, 90, 20143, -933, -16023)
(-7, 34, -34, 25474, -32386, -8101)
(-42, -15, -97, -25745, 23318, 23590)
(93, -101, 127, 22150, 3332, 18570)
(-43, -93, -28, -19164, -24339, 12525)
(-117, 38, -18, 229, 18551, 18083)
(4, -92, -96, 5149, -4669, -24160)
(-126, -30, 94, 7309, 871, -31577)
(103, -45, -57, 18171, 17050, -32032)
(93, 44, -118, 8490, 13176, -32032)
(59, -3, 35, 16681, 11773, 20760)
(10, -64, -68, 9668, -23788, -22952)
(-47, 111, 26, 11098, -13534, -11798)
(20, 120, 14, 228, 30727, 737)
(-115, -100, -93, 22479, -24908, 20293)
(-77, 20, 31, 3736, 16505, 31882)
(62, -13, 76, 228, 21046, 15691)
(-101, -43, -33, -32539, 12110, 15840)
(85, 71, -39, 24577, -21910, -30003)
(92, -122, -93, 3036, 13436, -21401)
(-116, -6, -70, 1403, 11913, 29780)
(-111, -73, -77, 21683, -19428, -28405)
(-55, -114, -70, -32539, 17655, -32031)
(81, 103, -99, 7882, 15702, -32031)
(110, 71, -114, -13245, -25862, 738)
(45, 89, 37, 230, 22134, -32031)
(-92, -95, 104, 228, 1161, -32031)
(-78, 24, -35, -32539, -32054, -32031)
(52, -71, 66, 31558, 3969, -32031)
(-116, 77, -90, -10214, 30728, 27773)
(88, -32, 114, -17125, 30728, 8488)
(-85, -16, -112, -5671, -1620, 30468)
(36, 101, -44, -32357, 26267, -357)
