(5, -4, -82, -1889, -1057, 1210)
(44, 54, 121, -1700, 2792, 4416)
(3, 41, -118, -3390, -2127, -985)
(32, 96, -122, 3184, -2801, -6057)
(-118, 124, -87, 2797, -1396, -3237)
(-101, 103, 5, 9674, -15733, -5386)
(-89, 114, -14, 4742, -13919, -7205)
(100, -46, -72, -11440, 2145, -8964)
(10, 60, -124, -9277, 12472, -3842)
(28, -84, 100, -5813, 2697, -4154)
(41, 101, -65, 5902, -12973, -21999)
(-101, -76, -105, -4703, 14072, -25927)
(-19, -30, 96, -2784, 9672, -14381)
(-15, -5, 11, 10386, -7618, -1372)
(-1, -14, 4, 14747, -17172, -13293)
(-8, -7, -48, 8053, 285, -16412)
(-127, -15, 52, 15311, 2912, -14070)
(-75, -4, 35, 14480, 9718, -20874)
(-1, -122, -10, 14724, 6803, -26578)
(21, -122, 19, -19036, -16870, -10836)
(-53, -89, 9, 3743, 10336, 17203)
(-36, -42, 76, -28179, -23744, -21925)
(118, 111, 61, -28477, 20607, 26890)
(56, -112, 5, -32542, 30739, -21162)
(13, 45, -23, -32542, 21173, 18783)
(23, 25, 50, -32542, 28070, -27991)
(123, -87, -109, -26111, 28557, -13021)
(98, -126, -46, 25709, -26557, -8073)
(-29, -70, 93, 31067, 29251, -28444)
(-68, 72, 47, -32542, 31417, -7408)
(15, -90, 44, -32542, -31239, 26493)
(-72, 16, -98, -32542, 18632, -31832)
(41, -6, 91, -32542, 31930, 352)
(121, 25, 68, -23463, 8498, -18003)
(97, 61, -125, -24646, -22378, -14867)
(-84, -71, 4, -32542, -2544, -27338)
(60, 122, -43, 25259, 18609, -31788)
(33, 57, -71, 24650, 30739, 29256)
(44, -71, 16, -8793, -8383, -6355)
(0, -85, -102, -7692, -15722, -16483)
(-1, -4, 100, 226, 21446, -29150)
(-33, -96, -1, -15240, 30739, -32035)
(12, 3, -17, 3929, 30739, -32035)
(-7, -117, 94, -14056, 13254, -32035)
(53, 36, -53, -10630, -18047, 18301)
(8, -78, -35, 961, 25312, -19095)
(4, -92, 2, 7383, 32548, -6420)
(1, 56, -95, -20446, 30739, 15685)
(47, -106, -3, 227, 30739, 16418)
(58, -110, 17, -26257, -24989, 16330)
(91, 115, 88, 29668, 16548, -504)
(-33, -42, 45, 28754, -21087, 24519)
(121, 25, -24, -18257, -6368, 30352)
(-46, -117, -123, 15137, -15602, 23318)
(-6, 116, -108, 17727, -16838, 18795)
(98, -19, 17, 681, -14502, -2810)
(101, -23, 2, -249, 26502, -18759)
(-36, -28, -62, -7262, -21072, -16438)
(-123, -8, -123, -6669, -1863, -18850)
(-31, -110, 97, -6544, -8603, -31487)
(-67, -113, 10, -32412, -24706, -25355)
(-46, -115, -18, -26035, -20832, 30404)
(-13, 15, -94, 29516, -31530, -32037)
(-27, 57, 2, -31384, -5931, -32037)
(-79, -56, 5, -32543, 26114, 11411)
(56, -24, -15, 9735, 1843, -18638)
(-55, -67, 7, -12748, 3161, -14)
(13, -6, 47, -19933, 4956, -10081)
(82, 104, -9, 23811, 21473, -32023)
(114, -15, -32, -32543, 11590, -23341)
(91, -27, 111, -32543, -24015, 29277)
(-15, 117, -91, -32543, 19178, -32036)
(55, 5, -88, -32543, -31585, 731)
(41, 0, 0, 20512, 29669, 23543)
(-111, 48, -113, -17461, -17354, 20907)
(-7, -69, -38, -32543, -7843, 29298)
(33, 85, -106, -32543, 9260, 25747)
(61, -75, -117, 226, 26977, -32036)
(-47, -63, -69, -32543, 30739, -32036)
(-34, -69, 126, -6571, -13390, 731)
(93, -89, 20, 22830, 23604, -32036)
(20, -103, 93, 7918, 30739, -32036)
(74, 82, 107, 7986, -6186, -32036)
(-72, 121, 9, 16681, -24284, 31089)
(-116, -15, 9, 32668, -31622, -5971)
(-4, 75, -8, -24767, 11494, -1863)
(87, 118, 55, -827, 23671, 15129)
(-12, -106, -57, 18267, 6254, -23862)
(9, 103, 21, 2603, 23201, 20065)
(12, 120, 103, 13195, 28664, 1149)
(127, -76, 25, 15330, 28518, -28150)
(45, 60, -40, 29929, 1445, -27019)
(111, -94, 83, -17396, -19677, -17820)
(-1, -51, -80, 22267, 31231, 14769)
(111, 75, -77, 5842, -22229, 10691)
(-128, -80, 50, 9798, -4683, -7941)
(-54, -117, 68, -4954, 788, -21121)
(54, -19, 97, -11665, -15134, 30546)
(85, -75, -82, 5812, -18003, -21203)
(126, -126, 4, 8967, -4703, -11312)
(-92, 81, -14, 1571, 4128, -3078)
(-71, -67, -127, 17967, 28023, -10312)
(-22, -73, -56, -23727, -9051, 22116)
(-109, 19, -5, -32155, -28197, -32037)
(-53, -65, 54, -32542, -6003, -32037)
(-13, -11, 89, -32542, -24922, -32037)
(45, -49, 22, 19054, 24184, -19920)
(-11, 17, 18, 29808, -5794, 14734)
(-116, -105, -62, -20231, -27481, 7777)
(31, -20, 42, 26120, -21937, -24201)
(4, -128, 22, -32542, 23958, -31761)
(110, -9, -117, -32542, 20611, 14789)
(69, 44, -64, -32542, -16999, -3251)
(12, 73, 48, -32542, 19426, 17380)
(113, -106, 127, -20753, 9478, -21867)
(-17, -29, 97, -3704, -26652, -2472)
(14, -78, 124, -32542, -28081, 20166)
(-116, -115, -75, 5313, 1033, -23008)
(43, -117, 67, 19088, -28125, -23285)
(-24, 124, 55, 3727, 23908, 320)
(100, -69, 123, 13146, -30771, -31932)
(120, -36, 71, -14200, -15554, -25483)
(-29, 35, 16, 9980, 22122, -32038)
(126, -35, 79, -8014, 30501, -32038)
(123, -103, -105, -7298, 22519, -32038)
(-113, 80, -102, 29332, 7061, 11439)
(99, 103, -72, 28695, 23480, 20890)
(37, 48, 56, 28304, -29297, 24824)
(-77, 1, -113, -9981, 30739, 5873)
(96, 30, -7, -170, -28030, -14842)
(89, -71, 122, 24368, -22632, -14459)
(-61, -114, -82, 25404, 11638, 23298)
(104, 28, -51, 3490, 8704, -19804)
(48, 30, -85, 13997, 31238, 24958)
(-52, -1, 122, 2735, -26084, 22315)
(-120, -90, 115, -19646, 4139, 14488)
(-66, -105, 66, -13567, -12359, -23429)
(25, 77, -25, -2553, -26742, 31622)
(31, 12, 0, -1404, 344, -26524)
(-105, -39, -61, 11217, -1233, 30667)
(37, -70, -57, -3013, -8257, -32039)
(-55, -64, 29, 17484, 20831, -32039)
(-127, 124, -19, -21895, -5993, -32039)
(-39, 32, 18, -32539, -14223, -32039)
(113, -62, -54, -32539, -9809, -14888)
(-105, 79, -115, -32539, -7333, -3395)
(-93, 106, -4, -32539, 11685, 27471)
(-71, 3, -47, -24105, 19554, 6284)
(-71, -94, -59, 19264, -14385, 20833)
(-79, 23, 71, 23913, 21947, -21353)
(10, -48, 90, -1412, -6415, -32038)
(-107, -46, -16, 16351, 31506, 20382)
(53, -104, 40, 25102, -11007, -20579)
(83, 108, -56, -18983, 15891, -8947)
(-16, 14, -128, 15368, -30205, 25396)
(-32, 78, -23, 27953, -11233, 32157)
(0, 11, 106, -32538, -20250, -32038)
(95, -126, -114, 229, 30740, -17168)
(-125, -88, -109, -32538, -24358, -4701)
(-69, -51, -90, 231, 16339, -10655)
(-15, 58, 94, -32538, -31320, -1852)
(82, -82, -51, 229, 29582, 19694)
(92, 51, 57, 32474, 32531, -21867)
(99, 121, -37, -15550, -22638, -32037)
(120, 80, 87, -27687, 712, -32037)
(75, -15, 110, 27466, 23655, -32037)
(75, 18, -16, -22147, 24533, 12385)
(-83, 56, 67, 22176, 29984, 32615)
(-83, -32, 74, 14192, 11631, 29544)
(36, -85, -60, -18777, -27784, 17633)
(18, 87, -68, 22406, 30740, -9674)
(6, -11, 57, -29559, -8277, 17130)
(61, 46, 97, -764, 10978, -13878)
(-123, 48, -121, -32538, 30740, -7719)
(-22, 14, -74, -10951, -4296, 11750)
(111, 39, 68, 1337, -14473, 7841)
(-51, 17, 97, 1986, -2559, 2924)
(58, 99, -98, 7053, -4666, 6219)
(89, 102, 79, 13696, -18172, -2749)
(123, 42, 16, -9226, -30923, -1830)
(1, -37, 91, -15714, -21098, -18766)
(59, 22, 9, -6984, -4564, -16521)
(96, 124, -24, -5661, 15560, -16776)
(2, -11, 55, 3073, 6041, -27890)
(32, -3, 78, 750, 13815, 29491)
(5, 76, -104, -28429, -4495, -32038)
(-127, 27, 86, -28484, 683, -32038)
(-6, -84, 88, -32538, -18221, -32038)
(-127, 116, 38, -32538, 12169, -32038)
(74, 13, 50, -32538, 28044, 6562)
(3, -50, 33, 6701, -2903, -15298)
(32, -127, -45, -20028, -5088, -3073)
(12, -21, 116, 28574, 12241, -5449)
(-84, 113, 72, 30416, 3332, -17231)
(59, 124, -102, -32538, 4307, -18114)
(53, 2, -70, -32538, -6071, -24332)
(92, -66, 44, -32538, 14894, 28348)
(105, -43, -121, -32538, 30651, 730)
(-103, 110, -26, 2855, 30740, -32037)
(-10, -19, -7, -11568, -17367, 27578)
(15, 15, 108, -32538, 28677, -8)
(-29, 4, 64, -32538, 29492, 13711)
(55, 31, 69, 17289, 30740, -13890)
(-42, -7, 14, 27312, 32707, 27320)
(44, 46, 100, -32538, 30085, -32039)
(-31, -114, 126, -23590, -31597, 728)
(87, -100, -31, -28217, 15201, -32039)
(-13, -103, -110, 6273, -27330, -32039)
